country,environment,count,proportion,population_proportion,sample_proportion,benchmark_proportion,deviation,abs_deviation,normalized_deviation,tvd_contribution
Kenya,Urban,107.0,0.17833333333333334,0.0018043527192507,0.17833333333333334,0.0018043527192507,0.17652898061408265,0.17652898061408265,97.83507333720786,0.08826449030704132
India,Rural,8.0,0.013333333333333334,0.1170329481724181,0.013333333333333334,0.1170329481724181,-0.10369961483908477,0.10369961483908477,-0.8860719691202679,0.051849807419542385
India,Urban,88.0,0.14666666666666667,0.0603695647673797,0.14666666666666667,0.0603695647673797,0.08629710189928697,0.08629710189928697,1.4294802725812765,0.04314855094964348
China,Urban,17.0,0.028333333333333332,0.1096632966724287,0.028333333333333332,0.1096632966724287,-0.08132996333909537,0.08132996333909537,-0.741633397927414,0.040664981669547684
United States,Urban,48.0,0.08,,0.08,0.0,0.08,0.08,inf,0.04
China,Rural,1.0,0.0016666666666666668,0.0757304077978642,0.0016666666666666668,0.0757304077978642,-0.07406374113119754,0.07406374113119754,-0.9779921075941483,0.03703187056559877
Chile,Urban,34.0,0.056666666666666664,0.0020876093689036,0.056666666666666664,0.0020876093689036,0.054579057297763064,0.054579057297763064,26.144286431530844,0.027289528648881532
United States of America,Urban,,,0.0352154047596026,0.0,0.0352154047596026,-0.0352154047596026,0.0352154047596026,-1.0,0.0176077023798013
Israel,Urban,18.0,0.03,0.0010234972003185,0.03,0.0010234972003185,0.0289765027996815,0.0289765027996815,28.31126728110674,0.01448825139984075
United Kingdom,Urban,18.0,0.03,0.0072741408165495,0.03,0.0072741408165495,0.0227258591834505,0.0227258591834505,3.1241984114119123,0.01136292959172525
Brazil,Urban,27.0,0.045,0.0239164516038588,0.045,0.0239164516038588,0.021083548396141197,0.021083548396141197,0.8815500202688709,0.010541774198070598
Türkiye,Urban,12.0,0.02,,0.02,0.0,0.02,0.02,inf,0.01
Canada,Urban,13.0,0.021666666666666667,0.0039414861462343,0.021666666666666667,0.0039414861462343,0.017725180520432367,0.017725180520432367,4.497080507911216,0.008862590260216184
Kazakhstan,Urban,10.0,0.016666666666666666,0.001384708385838,0.016666666666666666,0.001384708385838,0.015281958280828666,0.015281958280828666,11.036228593055213,0.007640979140414333
Pakistan,Rural,1.0,0.0016666666666666668,0.0166630113195226,0.0016666666666666668,0.0166630113195226,-0.014996344652855934,0.014996344652855934,-0.8999780631059178,0.007498172326427967
Indonesia,Rural,1.0,0.0016666666666666668,0.0156160622504308,0.0016666666666666668,0.0156160622504308,-0.013949395583764132,0.013949395583764132,-0.8932722833747228,0.006974697791882066
Bangladesh,Rural,,,0.0138122335952867,0.0,0.0138122335952867,-0.0138122335952867,0.0138122335952867,-1.0,0.00690611679764335
Morocco,Urban,10.0,0.016666666666666666,0.0029613552507424,0.016666666666666666,0.0029613552507424,0.013705311415924267,0.013705311415924267,4.628053798168389,0.006852655707962133
Mexico,Urban,16.0,0.02666666666666667,0.0137319207709402,0.02666666666666667,0.0137319207709402,0.012934745895726468,0.012934745895726468,0.9419473146902557,0.006467372947863234
Nigeria,Urban,,,0.012919621405608,0.0,0.012919621405608,-0.012919621405608,0.012919621405608,-1.0,0.006459810702804
Nigeria,Rural,,,0.0127431428176883,0.0,0.0127431428176883,-0.0127431428176883,0.0127431428176883,-1.0,0.00637157140884415
Ethiopia,Rural,,,0.0111634825841705,0.0,0.0111634825841705,-0.0111634825841705,0.0111634825841705,-1.0,0.00558174129208525
South Africa,Urban,9.0,0.015,0.0049900074076461,0.015,0.0049900074076461,0.010009992592353899,0.010009992592353899,2.006007561635232,0.0050049962961769496
United States,Rural,6.0,0.01,,0.01,0.0,0.01,0.01,inf,0.005
Japan,Urban,4.0,0.006666666666666667,0.0152662494592313,0.006666666666666667,0.0152662494592313,-0.008599582792564633,0.008599582792564633,-0.5633068433428866,0.004299791396282317
United Kingdom,Rural,6.0,0.01,0.0014479891267179,0.01,0.0014479891267179,0.0085520108732821,0.0085520108732821,5.90612920738335,0.00427600543664105
Germany,Urban,10.0,0.016666666666666666,0.0083355016485746,0.016666666666666666,0.0083355016485746,0.008331165018092066,0.008331165018092066,0.9994797397126931,0.004165582509046033
Viet Nam,Rural,,,0.0081009829608416,0.0,0.0081009829608416,-0.0081009829608416,0.0081009829608416,-1.0,0.0040504914804208
Turkey,Urban,,,0.008064691521455,0.0,0.008064691521455,-0.008064691521455,0.008064691521455,-1.0,0.0040323457607275
Iran (Islamic Republic of),Urban,,,0.0080476594379884,0.0,0.0080476594379884,-0.0080476594379884,0.0080476594379884,-1.0,0.0040238297189942
Slovakia,Urban,5.0,0.008333333333333333,0.0003836149260794,0.008333333333333333,0.0003836149260794,0.007949718407253933,0.007949718407253933,20.723172814210344,0.003974859203626967
Egypt,Urban,8.0,0.013333333333333334,0.0055600581396719,0.013333333333333334,0.0055600581396719,0.007773275193661435,0.007773275193661435,1.3980564588341045,0.0038866375968307173
United States of America,Rural,,,0.0075963092261223,0.0,0.0075963092261223,-0.0075963092261223,0.0075963092261223,-1.0,0.00379815461306115
Egypt,Rural,,,0.0074597905263359,0.0,0.0074597905263359,-0.0074597905263359,0.0074597905263359,-1.0,0.00372989526316795
Philippines,Rural,,,0.0074089563079893,0.0,0.0074089563079893,-0.0074089563079893,0.0074089563079893,-1.0,0.00370447815399465
Poland,Urban,6.0,0.01,0.0029983017702623,0.01,0.0029983017702623,0.0070016982297377,0.0070016982297377,2.3352213240114157,0.00350084911486885
France,Rural,5.0,0.008333333333333333,0.0016713714521842,0.008333333333333333,0.0016713714521842,0.006661961881149133,0.006661961881149133,3.9859253743044816,0.0033309809405745665
Italy,Urban,7.0,0.011666666666666667,0.0054716223216721,0.011666666666666667,0.0054716223216721,0.006195044344994567,0.006195044344994567,1.1322134425208998,0.0030975221724972835
Democratic Republic of the Congo,Rural,,,0.0061126837401511,0.0,0.0061126837401511,-0.0061126837401511,0.0061126837401511,-1.0,0.00305634187007555
