country,gender,age_group,count,proportion,population_proportion,sample_proportion,benchmark_proportion,deviation,abs_deviation,normalized_deviation,tvd_contribution
Kenya,Male,18-24,39.0,0.065,,0.065,0.0,0.065,0.065,inf,0.0325
Kenya,Male,25-34,29.0,0.04833333333333333,,0.04833333333333333,0.0,0.04833333333333333,0.04833333333333333,inf,0.024166666666666666
India,Male,18-24,24.0,0.04,,0.04,0.0,0.04,0.04,inf,0.02
India,Male,25-34,20.0,0.03333333333333333,,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,inf,0.016666666666666666
Kenya,Female,25-34,19.0,0.03166666666666667,,0.03166666666666667,0.0,0.03166666666666667,0.03166666666666667,inf,0.015833333333333335
India,Male,18-25,,,0.0222815556063949,0.0,0.0222815556063949,-0.0222815556063949,0.0222815556063949,-1.0,0.01114077780319745
India,Female,18-24,13.0,0.021666666666666667,,0.021666666666666667,0.0,0.021666666666666667,0.021666666666666667,inf,0.010833333333333334
India,Female,25-34,13.0,0.021666666666666667,,0.021666666666666667,0.0,0.021666666666666667,0.021666666666666667,inf,0.010833333333333334
Kenya,Female,18-24,13.0,0.021666666666666667,,0.021666666666666667,0.0,0.021666666666666667,0.021666666666666667,inf,0.010833333333333334
Chile,Female,25-34,13.0,0.021666666666666667,,0.021666666666666667,0.0,0.021666666666666667,0.021666666666666667,inf,0.010833333333333334
India,Male,26-35,,,0.0207776911163869,0.0,0.0207776911163869,-0.0207776911163869,0.0207776911163869,-1.0,0.01038884555819345
India,Female,18-25,,,0.020223054552503,0.0,0.020223054552503,-0.020223054552503,0.020223054552503,-1.0,0.0101115272762515
India,Female,26-35,,,0.0190094471171755,0.0,0.0190094471171755,-0.0190094471171755,0.0190094471171755,-1.0,0.00950472355858775
China,Male,46-55,,,0.0184724468422471,0.0,0.0184724468422471,-0.0184724468422471,0.0184724468422471,-1.0,0.00923622342112355
China,Female,65+,,,0.0184030554623377,0.0,0.0184030554623377,-0.0184030554623377,0.0184030554623377,-1.0,0.00920152773116885
China,Female,46-55,,,0.0180503296832258,0.0,0.0180503296832258,-0.0180503296832258,0.0180503296832258,-1.0,0.0090251648416129
China,Male,36-45,,,0.017999728368185,0.0,0.017999728368185,-0.017999728368185,0.017999728368185,-1.0,0.0089998641840925
India,Male,36-45,,,0.0177043617344614,0.0,0.0177043617344614,-0.0177043617344614,0.0177043617344614,-1.0,0.0088521808672307
China,Male,26-35,,,0.0173804803531741,0.0,0.0173804803531741,-0.0173804803531741,0.0173804803531741,-1.0,0.00869024017658705
China,Female,36-45,,,0.0169153438351115,0.0,0.0169153438351115,-0.0169153438351115,0.0169153438351115,-1.0,0.00845767191755575
United States,Female,25-34,10.0,0.016666666666666666,,0.016666666666666666,0.0,0.016666666666666666,0.016666666666666666,inf,0.008333333333333333
India,Female,36-45,,,0.0164225166951374,0.0,0.0164225166951374,-0.0164225166951374,0.0164225166951374,-1.0,0.0082112583475687
China,Female,56-65,,,0.0157231636667394,0.0,0.0157231636667394,-0.0157231636667394,0.0157231636667394,-1.0,0.0078615818333697
China,Female,26-35,,,0.0154652123376225,0.0,0.0154652123376225,-0.0154652123376225,0.0154652123376225,-1.0,0.00773260616881125
China,Male,56-65,,,0.0153935134058871,0.0,0.0153935134058871,-0.0153935134058871,0.0153935134058871,-1.0,0.00769675670294355
China,Male,65+,,,0.0151650657751165,0.0,0.0151650657751165,-0.0151650657751165,0.0151650657751165,-1.0,0.00758253288755825
China,Male,18-25,,,0.0143458848768987,0.0,0.0143458848768987,-0.0143458848768987,0.0143458848768987,-1.0,0.00717294243844935
Chile,Male,25-34,8.0,0.013333333333333334,,0.013333333333333334,0.0,0.013333333333333334,0.013333333333333334,inf,0.006666666666666667
United States,Male,55-64,8.0,0.013333333333333334,,0.013333333333333334,0.0,0.013333333333333334,0.013333333333333334,inf,0.006666666666666667
India,Female,35-44,8.0,0.013333333333333334,,0.013333333333333334,0.0,0.013333333333333334,0.013333333333333334,inf,0.006666666666666667
India,Male,46-55,,,0.0133051790033881,0.0,0.0133051790033881,-0.0133051790033881,0.0133051790033881,-1.0,0.00665258950169405
India,Female,46-55,,,0.0127192256647232,0.0,0.0127192256647232,-0.0127192256647232,0.0127192256647232,-1.0,0.0063596128323616
China,Female,18-25,,,0.012264637955008,0.0,0.012264637955008,-0.012264637955008,0.012264637955008,-1.0,0.006132318977504
India,Male,35-44,7.0,0.011666666666666667,,0.011666666666666667,0.0,0.011666666666666667,0.011666666666666667,inf,0.005833333333333334
United States,Male,35-44,7.0,0.011666666666666667,,0.011666666666666667,0.0,0.011666666666666667,0.011666666666666667,inf,0.005833333333333334
Kenya,Male,35-44,6.0,0.01,,0.01,0.0,0.01,0.01,inf,0.005
China,Female,25-34,6.0,0.01,,0.01,0.0,0.01,0.01,inf,0.005
United States,Male,25-34,6.0,0.01,,0.01,0.0,0.01,0.01,inf,0.005
France,Male,25-34,6.0,0.01,,0.01,0.0,0.01,0.01,inf,0.005
Türkiye,Male,25-34,6.0,0.01,,0.01,0.0,0.01,0.01,inf,0.005
Brazil,Male,35-44,6.0,0.01,,0.01,0.0,0.01,0.01,inf,0.005
India,Male,56-65,,,0.0094515674540253,0.0,0.0094515674540253,-0.0094515674540253,0.0094515674540253,-1.0,0.00472578372701265
India,Female,56-65,,,0.0093358602124661,0.0,0.0093358602124661,-0.0093358602124661,0.0093358602124661,-1.0,0.00466793010623305
India,Female,65+,,,0.0086135964909389,0.0,0.0086135964909389,-0.0086135964909389,0.0086135964909389,-1.0,0.00430679824546945
Indonesia,Female,25-34,5.0,0.008333333333333333,,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,inf,0.004166666666666667
United States,Male,45-54,5.0,0.008333333333333333,,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,inf,0.004166666666666667
United States,Female,45-54,5.0,0.008333333333333333,,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,inf,0.004166666666666667
United Kingdom,Male,25-34,5.0,0.008333333333333333,,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,inf,0.004166666666666667
United Kingdom,Male,35-44,5.0,0.008333333333333333,,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,inf,0.004166666666666667
Chile,Male,35-44,5.0,0.008333333333333333,,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,inf,0.004166666666666667
United Kingdom,Female,25-34,5.0,0.008333333333333333,,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,inf,0.004166666666666667
India,Male,65+,,,0.007793261816808,0.0,0.007793261816808,-0.007793261816808,0.007793261816808,-1.0,0.003896630908404
Brazil,Female,25-34,4.0,0.006666666666666667,,0.006666666666666667,0.0,0.006666666666666667,0.006666666666666667,inf,0.0033333333333333335
Slovakia,Male,18-24,4.0,0.006666666666666667,,0.006666666666666667,0.0,0.006666666666666667,0.006666666666666667,inf,0.0033333333333333335
Brazil,Female,55-64,4.0,0.006666666666666667,,0.006666666666666667,0.0,0.006666666666666667,0.006666666666666667,inf,0.0033333333333333335
Brazil,Male,25-34,4.0,0.006666666666666667,,0.006666666666666667,0.0,0.006666666666666667,0.006666666666666667,inf,0.0033333333333333335
China,Female,18-24,4.0,0.006666666666666667,,0.006666666666666667,0.0,0.006666666666666667,0.006666666666666667,inf,0.0033333333333333335
United States,Female,35-44,4.0,0.006666666666666667,,0.006666666666666667,0.0,0.006666666666666667,0.006666666666666667,inf,0.0033333333333333335
India,Female,45-54,4.0,0.006666666666666667,,0.006666666666666667,0.0,0.006666666666666667,0.006666666666666667,inf,0.0033333333333333335
Chile,Female,18-24,4.0,0.006666666666666667,,0.006666666666666667,0.0,0.006666666666666667,0.006666666666666667,inf,0.0033333333333333335
United Kingdom,Female,35-44,4.0,0.006666666666666667,,0.006666666666666667,0.0,0.006666666666666667,0.006666666666666667,inf,0.0033333333333333335
Israel,Female,25-34,4.0,0.006666666666666667,,0.006666666666666667,0.0,0.006666666666666667,0.006666666666666667,inf,0.0033333333333333335
China,Male,25-34,4.0,0.006666666666666667,,0.006666666666666667,0.0,0.006666666666666667,0.006666666666666667,inf,0.0033333333333333335
India,Male,45-54,4.0,0.006666666666666667,,0.006666666666666667,0.0,0.006666666666666667,0.006666666666666667,inf,0.0033333333333333335
Canada,Female,35-44,4.0,0.006666666666666667,,0.006666666666666667,0.0,0.006666666666666667,0.006666666666666667,inf,0.0033333333333333335
Kenya,Female,35-44,4.0,0.006666666666666667,,0.006666666666666667,0.0,0.006666666666666667,0.006666666666666667,inf,0.0033333333333333335
Morocco,Female,18-24,4.0,0.006666666666666667,,0.006666666666666667,0.0,0.006666666666666667,0.006666666666666667,inf,0.0033333333333333335
Mexico,Male,35-44,4.0,0.006666666666666667,,0.006666666666666667,0.0,0.006666666666666667,0.006666666666666667,inf,0.0033333333333333335
United States of America,Female,65+,,,0.0053545091870231,0.0,0.0053545091870231,-0.0053545091870231,0.0053545091870231,-1.0,0.00267725459351155
Mexico,Female,18-24,3.0,0.005,,0.005,0.0,0.005,0.005,inf,0.0025
South Africa,Male,35-44,3.0,0.005,,0.005,0.0,0.005,0.005,inf,0.0025
Israel,Male,35-44,3.0,0.005,,0.005,0.0,0.005,0.005,inf,0.0025
Israel,Male,25-34,3.0,0.005,,0.005,0.0,0.005,0.005,inf,0.0025
Egypt,Male,18-24,3.0,0.005,,0.005,0.0,0.005,0.005,inf,0.0025
Israel,Male,18-24,3.0,0.005,,0.005,0.0,0.005,0.005,inf,0.0025
Mexico,Male,25-34,3.0,0.005,,0.005,0.0,0.005,0.005,inf,0.0025
Israel,Female,18-24,3.0,0.005,,0.005,0.0,0.005,0.005,inf,0.0025
Germany,Male,18-24,3.0,0.005,,0.005,0.0,0.005,0.005,inf,0.0025
Brazil,Female,18-24,3.0,0.005,,0.005,0.0,0.005,0.005,inf,0.0025
Russian Federation,Female,18-24,3.0,0.005,,0.005,0.0,0.005,0.005,inf,0.0025
United States,Female,18-24,3.0,0.005,,0.005,0.0,0.005,0.005,inf,0.0025
Poland,Male,25-34,3.0,0.005,,0.005,0.0,0.005,0.005,inf,0.0025
Türkiye,Male,35-44,3.0,0.005,,0.005,0.0,0.005,0.005,inf,0.0025
United States,Female,55-64,3.0,0.005,,0.005,0.0,0.005,0.005,inf,0.0025
Germany,Male,25-34,3.0,0.005,,0.005,0.0,0.005,0.005,inf,0.0025
United States,Female,65+,3.0,0.005,,0.005,0.0,0.005,0.005,inf,0.0025
Chile,Male,18-24,3.0,0.005,,0.005,0.0,0.005,0.005,inf,0.0025
Kazakhstan,Female,35-44,3.0,0.005,,0.005,0.0,0.005,0.005,inf,0.0025
Kazakhstan,Female,18-24,3.0,0.005,,0.005,0.0,0.005,0.005,inf,0.0025
Canada,Male,25-34,3.0,0.005,,0.005,0.0,0.005,0.005,inf,0.0025
United States of America,Male,65+,,,0.0045140658469803,0.0,0.0045140658469803,-0.0045140658469803,0.0045140658469803,-1.0,0.00225703292349015
Pakistan,Male,18-25,,,0.0041529339862166,0.0,0.0041529339862166,-0.0041529339862166,0.0041529339862166,-1.0,0.0020764669931083
United States of America,Male,26-35,,,0.0040255241603972,0.0,0.0040255241603972,-0.0040255241603972,0.0040255241603972,-1.0,0.0020127620801986
United States of America,Male,36-45,,,0.0039393206171844,0.0,0.0039393206171844,-0.0039393206171844,0.0039393206171844,-1.0,0.0019696603085922
Pakistan,Female,18-25,,,0.0039363537648367,0.0,0.0039363537648367,-0.0039363537648367,0.0039363537648367,-1.0,0.00196817688241835
Nigeria,Male,18-25,,,0.0038869062257088,0.0,0.0038869062257088,-0.0038869062257088,0.0038869062257088,-1.0,0.0019434531128544
United States of America,Male,18-25,,,0.0038260857525816,0.0,0.0038260857525816,-0.0038260857525816,0.0038260857525816,-1.0,0.0019130428762908
Indonesia,Male,18-25,,,0.0038049881358871,0.0,0.0038049881358871,-0.0038049881358871,0.0038049881358871,-1.0,0.00190249406794355
United States of America,Female,26-35,,,0.0037596612250199,0.0,0.0037596612250199,-0.0037596612250199,0.0037596612250199,-1.0,0.00187983061250995
Nigeria,Female,18-25,,,0.0037459807391945,0.0,0.0037459807391945,-0.0037459807391945,0.0037459807391945,-1.0,0.00187299036959725
United States of America,Female,36-45,,,0.0037126860628484,0.0,0.0037126860628484,-0.0037126860628484,0.0037126860628484,-1.0,0.0018563430314242
Indonesia,Male,26-35,,,0.0036245046180705,0.0,0.0036245046180705,-0.0036245046180705,0.0036245046180705,-1.0,0.00181225230903525
Indonesia,Female,18-25,,,0.0036164281866796,0.0,0.0036164281866796,-0.0036164281866796,0.0036164281866796,-1.0,0.0018082140933398
United States of America,Female,18-25,,,0.003591045116594,0.0,0.003591045116594,-0.003591045116594,0.003591045116594,-1.0,0.001795522558297
United States of America,Female,56-65,,,0.0035312135942493,0.0,0.0035312135942493,-0.0035312135942493,0.0035312135942493,-1.0,0.00176560679712465
United States of America,Male,56-65,,,0.0035279170916407,0.0,0.0035279170916407,-0.0035279170916407,0.0035279170916407,-1.0,0.00176395854582035
United States of America,Male,46-55,,,0.0035036877974681,0.0,0.0035036877974681,-0.0035036877974681,0.0035036877974681,-1.0,0.00175184389873405
Indonesia,Male,36-45,,,0.0034730303232088,0.0,0.0034730303232088,-0.0034730303232088,0.0034730303232088,-1.0,0.0017365151616044
Indonesia,Female,26-35,,,0.0034596794876443,0.0,0.0034596794876443,-0.0034596794876443,0.0034596794876443,-1.0,0.00172983974382215
Japan,Female,65+,,,0.003395727337039,0.0,0.003395727337039,-0.003395727337039,0.003395727337039,-1.0,0.0016978636685195
United States of America,Female,46-55,,,0.0033668829392144,0.0,0.0033668829392144,-0.0033668829392144,0.0033668829392144,-1.0,0.0016834414696072
Indonesia,Female,36-45,,,0.0033564989559976,0.0,0.0033564989559976,-0.0033564989559976,0.0033564989559976,-1.0,0.0016782494779988
Morocco,Male,18-24,2.0,0.0033333333333333335,,0.0033333333333333335,0.0,0.0033333333333333335,0.0033333333333333335,inf,0.0016666666666666668
Brazil,Female,45-54,2.0,0.0033333333333333335,,0.0033333333333333335,0.0,0.0033333333333333335,0.0033333333333333335,inf,0.0016666666666666668
Israel,Male,45-54,2.0,0.0033333333333333335,,0.0033333333333333335,0.0,0.0033333333333333335,0.0033333333333333335,inf,0.0016666666666666668
Australia,Female,25-34,2.0,0.0033333333333333335,,0.0033333333333333335,0.0,0.0033333333333333335,0.0033333333333333335,inf,0.0016666666666666668
Kenya,Female,45-54,2.0,0.0033333333333333335,,0.0033333333333333335,0.0,0.0033333333333333335,0.0033333333333333335,inf,0.0016666666666666668
Morocco,Male,25-34,2.0,0.0033333333333333335,,0.0033333333333333335,0.0,0.0033333333333333335,0.0033333333333333335,inf,0.0016666666666666668
Algeria,Female,18-24,2.0,0.0033333333333333335,,0.0033333333333333335,0.0,0.0033333333333333335,0.0033333333333333335,inf,0.0016666666666666668
