country,religion,count,proportion,population_proportion,sample_proportion,benchmark_proportion,deviation,abs_deviation,normalized_deviation,tvd_contribution
Kenya,Christianity,104.0,0.17333333333333334,0.0049823498169793,0.17333333333333334,0.0049823498169793,0.16835098351635405,0.16835098351635405,33.78947478610041,0.08417549175817703
China,I do not identify with any religious group or faith,14.0,0.023333333333333334,0.1015513029635914,0.023333333333333334,0.1015513029635914,-0.07821796963025807,0.07821796963025807,-0.7702310787514081,0.03910898481512903
China,Other religious group,,,0.0439666560723595,0.0,0.0439666560723595,-0.0439666560723595,0.0439666560723595,-1.0,0.02198332803617975
Chile,I do not identify with any religious group or faith,25.0,0.041666666666666664,0.000213414823666,0.041666666666666664,0.000213414823666,0.041453251843000666,0.041453251843000666,194.23792185999287,0.020726625921500333
United States,Christianity,42.0,0.07,0.0352477672482437,0.07,0.0352477672482437,0.034752232751756304,0.034752232751756304,0.9859413933087608,0.017376116375878152
China,Buddhism,3.0,0.005,0.0354067761290682,0.005,0.0354067761290682,-0.0304067761290682,0.0304067761290682,-0.8587840931415637,0.0152033880645341
India,Hinduism,69.0,0.115,0.1412020660648092,0.115,0.1412020660648092,-0.026202066064809196,0.026202066064809196,-0.18556432490713642,0.013101033032404598
Israel,Judaism,15.0,0.025,0.0008135829187686,0.025,0.0008135829187686,0.024186417081231402,0.024186417081231402,29.72827541394158,0.012093208540615701
Indonesia,Islam,7.0,0.011666666666666667,0.0303367142786253,0.011666666666666667,0.0303367142786253,-0.01867004761195863,0.01867004761195863,-0.6154274797357738,0.009335023805979316
United Kingdom,I do not identify with any religious group or faith,12.0,0.02,0.0019165824797356,0.02,0.0019165824797356,0.018083417520264402,0.018083417520264402,9.435240962214722,0.009041708760132201
Chile,Christianity,11.0,0.018333333333333333,0.0022185215390403,0.018333333333333333,0.0022185215390403,0.016114811794293034,0.016114811794293034,7.263761703780467,0.008057405897146517
Russia,Christianity,,,0.015198286789464,0.0,0.015198286789464,-0.015198286789464,0.015198286789464,-1.0,0.007599143394732
Canada,I do not identify with any religious group or faith,9.0,0.015,0.0011693883866129,0.015,0.0011693883866129,0.0138306116133871,0.0138306116133871,11.827218203737313,0.00691530580669355
Bangladesh,Islam,4.0,0.006666666666666667,0.0193657454620284,0.006666666666666667,0.0193657454620284,-0.01269907879536173,0.01269907879536173,-0.6557495460353742,0.006349539397680865
Pakistan,Islam,7.0,0.011666666666666667,0.0242704516517931,0.011666666666666667,0.0242704516517931,-0.012603784985126433,0.012603784985126433,-0.5193057453545684,0.006301892492563217
Morocco,Islam,10.0,0.016666666666666666,0.0046292695775046,0.016666666666666666,0.0046292695775046,0.012037397089162067,0.012037397089162067,2.600279998308244,0.006018698544581033
Nigeria,Christianity,,,0.011327473358456,0.0,0.011327473358456,-0.011327473358456,0.011327473358456,-1.0,0.005663736679228
Nigeria,Islam,,,0.0112125902615143,0.0,0.0112125902615143,-0.0112125902615143,0.0112125902615143,-1.0,0.00560629513075715
France,I do not identify with any religious group or faith,8.0,0.013333333333333334,0.0025499087286355,0.013333333333333334,0.0025499087286355,0.010783424604697833,0.010783424604697833,4.228945327964044,0.005391712302348917
Iran,Islam,,,0.0106746789134919,0.0,0.0106746789134919,-0.0106746789134919,0.0106746789134919,-1.0,0.00533733945674595
Turkey,Islam,,,0.0103403489413732,0.0,0.0103403489413732,-0.0103403489413732,0.0103403489413732,-1.0,0.0051701744706866
Türkiye,Islam,6.0,0.01,,0.01,0.0,0.01,0.01,inf,0.005
India,I do not identify with any religious group or faith,6.0,0.01,8.880633085837056e-05,0.01,8.880633085837056e-05,0.00991119366914163,0.00991119366914163,111.6045846432742,0.004955596834570815
United Kingdom,Islam,6.0,0.01,0.0003959137516824,0.01,0.0003959137516824,0.0096040862483176,0.0096040862483176,24.258026419910642,0.0048020431241588
Thailand,Buddhism,,,0.0093432025295943,0.0,0.0093432025295943,-0.0093432025295943,0.0093432025295943,-1.0,0.00467160126479715
Mexico,I do not identify with any religious group or faith,6.0,0.01,0.0007731497540603,0.01,0.0007731497540603,0.009226850245939701,0.009226850245939701,11.934104870995114,0.0046134251229698504
Philippines,Christianity,2.0,0.0033333333333333335,0.0125251379836496,0.0033333333333333335,0.0125251379836496,-0.009191804650316266,0.009191804650316266,-0.7338685340085922,0.004595902325158133
Dem. Rep. of the Congo,Christianity,,,0.0091661743633714,0.0,0.0091661743633714,-0.0091661743633714,0.0091661743633714,-1.0,0.0045830871816857
Germany,I do not identify with any religious group or faith,7.0,0.011666666666666667,0.0029483083991181,0.011666666666666667,0.0029483083991181,0.008718358267548567,0.008718358267548567,2.9570713396727455,0.004359179133774284
Türkiye,I do not identify with any religious group or faith,5.0,0.008333333333333333,,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,inf,0.004166666666666667
China,Christianity,1.0,0.0016666666666666668,0.0099216790251784,0.0016666666666666668,0.0099216790251784,-0.008255012358511733,0.008255012358511733,-0.8320176794232971,0.004127506179255867
Kazakhstan,I do not identify with any religious group or faith,5.0,0.008333333333333333,9.764700649791616e-05,0.008333333333333333,9.764700649791616e-05,0.008235686326835417,0.008235686326835417,84.3414111932983,0.0041178431634177086
Brazil,I do not identify with any religious group or faith,6.0,0.01,0.0022337082693531,0.01,0.0022337082693531,0.0077662917306469004,0.0077662917306469004,3.4768603569239063,0.0038831458653234502
