country,environment,population_proportion,sample_count,sample_proportion,absolute_deviation,signed_deviation,gri_contribution_points,deviation_percentage_points,representation_ratio,over_under_representation_pct,dimension,stratum_id,representation_category
India,Urban,0.0603695647673797,177.0,0.19579646017699115,0.13542689540961145,0.13542689540961145,6.771344770480573,13.542689540961145,3.243297528008492,224.3297528008492,Country × Environment,country:India × environment:Urban,Highly Over-represented
Kenya,Urban,0.0018043527192507,121.0,0.1338495575221239,0.1320452048028732,0.1320452048028732,6.602260240143661,13.204520480287322,74.18148131131927,7318.148131131928,Country × Environment,country:Kenya × environment:Urban,Highly Over-represented
India,Rural,0.1170329481724181,15.0,0.016592920353982302,0.1004400278184358,-0.1004400278184358,5.02200139092179,-10.04400278184358,0.1417799056855073,-85.82200943144926,Country × Environment,country:India × environment:Rural,Highly Under-represented
China,Rural,0.0757304077978642,2.0,0.0022123893805309734,0.07351801841733323,-0.07351801841733323,3.6759009208666615,-7.351801841733323,0.02921401646794471,-97.07859835320552,Country × Environment,country:China × environment:Rural,Highly Under-represented
China,Urban,0.1096632966724287,33.0,0.03650442477876106,0.07315887189366764,-0.07315887189366764,3.657943594683382,-7.315887189366764,0.3328773243777462,-66.71226756222538,Country × Environment,country:China × environment:Urban,Highly Under-represented
United States of America,Urban,0.0352154047596026,59.0,0.06526548672566372,0.03005008196606112,0.03005008196606112,1.502504098303056,3.005008196606112,1.8533220666125385,85.33220666125385,Country × Environment,country:United States of America × environment:Urban,Highly Over-represented
Chile,Urban,0.0020876093689036,29.0,0.032079646017699116,0.029992036648795517,0.029992036648795517,1.499601832439776,2.999203664879552,15.366690002233106,1436.6690002233106,Country × Environment,country:Chile × environment:Urban,Highly Over-represented
Israel,Urban,0.0010234972003185,21.0,0.023230088495575223,0.022206591295256723,0.022206591295256723,1.1103295647628362,2.2206591295256723,22.696777761918938,2169.677776191894,Country × Environment,country:Israel × environment:Urban,Highly Over-represented
Viet Nam,Urban,0.0045408844682334,22.0,0.024336283185840708,0.019795398717607306,0.019795398717607306,0.9897699358803653,1.9795398717607307,5.359370703238476,435.9370703238476,Country × Environment,country:Viet Nam × environment:Urban,Highly Over-represented
Indonesia,Urban,0.0193383585840521,34.0,0.03761061946902655,0.018272260884974453,0.018272260884974453,0.9136130442487227,1.8272260884974454,1.944871344977705,94.48713449777051,Country × Environment,country:Indonesia × environment:Urban,Highly Over-represented
Canada,Urban,0.0039414861462343,20.0,0.022123893805309734,0.018182407659075434,0.018182407659075434,0.9091203829537717,1.8182407659075435,5.613084249058423,461.30842490584234,Country × Environment,country:Canada × environment:Urban,Highly Over-represented
United Kingdom,Urban,0.0072741408165495,22.0,0.024336283185840708,0.017062142369291208,0.017062142369291208,0.8531071184645603,1.7062142369291207,3.345588681823823,234.5588681823823,Country × Environment,country:United Kingdom × environment:Urban,Highly Over-represented
Indonesia,Rural,0.0156160622504308,2.0,0.0022123893805309734,0.013403672869899826,-0.013403672869899826,0.6701836434949913,-1.3403672869899825,0.14167396012204936,-85.83260398779507,Country × Environment,country:Indonesia × environment:Rural,Highly Under-represented
