country,gender,age_group,population_proportion,sample_count,sample_proportion,absolute_deviation,signed_deviation,gri_contribution_points,deviation_percentage_points,representation_ratio,over_under_representation_pct,dimension,stratum_id,representation_category
Kenya,Male,26-35,0.0006917710723984,40.0,0.04424778761061947,0.04355601653822107,0.04355601653822107,2.1778008269110534,4.355601653822107,63.963049881820716,6296.304988182072,Country × Gender × Age,country:Kenya × gender:Male × age_group:26-35,Highly Over-represented
Kenya,Female,26-35,0.00071946169431,28.0,0.030973451327433628,0.03025398963312363,0.03025398963312363,1.5126994816561814,3.025398963312363,43.05086924348172,4205.086924348172,Country × Gender × Age,country:Kenya × gender:Female × age_group:26-35,Highly Over-represented
Kenya,Male,18-25,0.0009589526088191,25.0,0.02765486725663717,0.02669591464781807,0.02669591464781807,1.3347957323909037,2.6695914647818073,28.83861726044282,2783.861726044282,Country × Gender × Age,country:Kenya × gender:Male × age_group:18-25,Highly Over-represented
India,Female,18-25,0.020223054552503,41.0,0.04535398230088496,0.025130927748381958,0.025130927748381958,1.2565463874190979,2.5130927748381957,2.242687037368028,124.26870373680279,Country × Gender × Age,country:India × gender:Female × age_group:18-25,Highly Over-represented
India,Male,18-25,0.0222815556063949,42.0,0.046460176991150445,0.024178621384755544,0.024178621384755544,1.2089310692377773,2.4178621384755545,2.085140634337765,108.5140634337765,Country × Gender × Age,country:India × gender:Male × age_group:18-25,Highly Over-represented
China,Male,46-55,0.0184724468422471,0.0,0.0,0.0184724468422471,-0.0184724468422471,0.9236223421123549,-1.8472446842247099,0.0,-100.0,Country × Gender × Age,country:China × gender:Male × age_group:46-55,Missing
China,Female,65+,0.0184030554623377,0.0,0.0,0.0184030554623377,-0.0184030554623377,0.920152773116885,-1.84030554623377,0.0,-100.0,Country × Gender × Age,country:China × gender:Female × age_group:65+,Missing
China,Female,46-55,0.0180503296832258,0.0,0.0,0.0180503296832258,-0.0180503296832258,0.9025164841612899,-1.8050329683225799,0.0,-100.0,Country × Gender × Age,country:China × gender:Female × age_group:46-55,Missing
India,Male,26-35,0.0207776911163869,34.0,0.03761061946902655,0.01683292835263965,0.01683292835263965,0.8416464176319826,1.6832928352639651,1.8101443157639348,81.01443157639348,Country × Gender × Age,country:India × gender:Male × age_group:26-35,Highly Over-represented
China,Male,36-45,0.017999728368185,2.0,0.0022123893805309734,0.015787338987654026,-0.015787338987654026,0.7893669493827014,-1.5787338987654027,0.12291237596904132,-87.70876240309586,Country × Gender × Age,country:China × gender:Male × age_group:36-45,Highly Under-represented
Kenya,Female,18-25,0.0009757647721226,15.0,0.016592920353982302,0.015617155581859702,0.015617155581859702,0.780857779092985,1.56171555818597,17.005041407559123,1600.5041407559122,Country × Gender × Age,country:Kenya × gender:Female × age_group:18-25,Highly Over-represented
China,Male,56-65,0.0153935134058871,0.0,0.0,0.0153935134058871,-0.0153935134058871,0.769675670294355,-1.53935134058871,0.0,-100.0,Country × Gender × Age,country:China × gender:Male × age_group:56-65,Missing
China,Male,26-35,0.0173804803531741,2.0,0.0022123893805309734,0.015168090972643128,-0.015168090972643128,0.7584045486321564,-1.516809097264313,0.12729161309554582,-87.27083869044542,Country × Gender × Age,country:China × gender:Male × age_group:26-35,Highly Under-represented
China,Male,65+,0.0151650657751165,0.0,0.0,0.0151650657751165,-0.0151650657751165,0.758253288755825,-1.51650657751165,0.0,-100.0,Country × Gender × Age,country:China × gender:Male × age_group:65+,Missing
China,Female,56-65,0.0157231636667394,1.0,0.0011061946902654867,0.014616968976473915,-0.014616968976473915,0.7308484488236957,-1.4616968976473914,0.0703544600636269,-92.96455399363731,Country × Gender × Age,country:China × gender:Female × age_group:56-65,Highly Under-represented
India,Female,26-35,0.0190094471171755,29.0,0.032079646017699116,0.013070198900523616,0.013070198900523616,0.6535099450261808,1.3070198900523615,1.687563337321598,68.75633373215979,Country × Gender × Age,country:India × gender:Female × age_group:26-35,Highly Over-represented
China,Male,18-25,0.0143458848768987,2.0,0.0022123893805309734,0.012133495496367726,-0.012133495496367726,0.6066747748183863,-1.2133495496367726,0.1542177007215221,-84.57822992784779,Country × Gender × Age,country:China × gender:Male × age_group:18-25,Highly Under-represented
Kenya,Male,36-45,0.0005271107671027,10.0,0.011061946902654867,0.010534836135552167,0.010534836135552167,0.5267418067776084,1.0534836135552168,20.986000653065023,1998.6000653065023,Country × Gender × Age,country:Kenya × gender:Male × age_group:36-45,Highly Over-represented
Chile,Male,26-35,0.0002683353123337,9.0,0.00995575221238938,0.00968741690005568,0.00968741690005568,0.484370845002784,0.968741690005568,37.10190852558561,3610.190852558561,Country × Gender × Age,country:Chile × gender:Male × age_group:26-35,Highly Over-represented
Egypt,Male,18-25,0.0016892927617373,10.0,0.011061946902654867,0.009372654140917567,0.009372654140917567,0.46863270704587834,0.9372654140917567,6.548271059469027,554.8271059469026,Country × Gender × Age,country:Egypt × gender:Male × age_group:18-25,Highly Over-represented
India,Female,65+,0.0086135964909389,0.0,0.0,0.0086135964909389,-0.0086135964909389,0.430679824546945,-0.86135964909389,0.0,-100.0,Country × Gender × Age,country:India × gender:Female × age_group:65+,Missing
Chile,Female,26-35,0.0002620719573775,8.0,0.008849557522123894,0.008587485564746394,0.008587485564746394,0.4293742782373197,0.8587485564746394,33.767662937612975,3276.7662937612977,Country × Gender × Age,country:Chile × gender:Female × age_group:26-35,Highly Over-represented
United States of America,Female,26-35,0.0037596612250199,11.0,0.012168141592920354,0.008408480367900454,0.008408480367900454,0.4204240183950227,0.8408480367900454,3.236499478182625,223.6499478182625,Country × Gender × Age,country:United States of America × gender:Female × age_group:26-35,Highly Over-represented
India,Male,56-65,0.0094515674540253,1.0,0.0011061946902654867,0.008345372763759813,-0.008345372763759813,0.41726863818799065,-0.8345372763759813,0.11703822626736614,-88.29617737326339,Country × Gender × Age,country:India × gender:Male × age_group:56-65,Highly Under-represented
United States of America,Male,36-45,0.0039393206171844,11.0,0.012168141592920354,0.008228820975735955,0.008228820975735955,0.41144104878679777,0.8228820975735955,3.0888934350353647,208.88934350353648,Country × Gender × Age,country:United States of America × gender:Male × age_group:36-45,Highly Over-represented
China,Female,36-45,0.0169153438351115,8.0,0.008849557522123894,0.008065786312987606,-0.008065786312987606,0.4032893156493803,-0.8065786312987606,0.5231674631262712,-47.68325368737288,Country × Gender × Age,country:China × gender:Female × age_group:36-45,Under-represented
Germany,Male,26-35,0.0008849461252578,8.0,0.008849557522123894,0.007964611396866094,0.007964611396866094,0.3982305698433047,0.7964611396866094,10.000108785770282,900.0108785770282,Country × Gender × Age,country:Germany × gender:Male × age_group:26-35,Highly Over-represented
India,Male,65+,0.007793261816808,0.0,0.0,0.007793261816808,-0.007793261816808,0.3896630908404,-0.7793261816808,0.0,-100.0,Country × Gender × Age,country:India × gender:Male × age_group:65+,Missing
United States of America,Female,46-55,0.0033668829392144,10.0,0.011061946902654867,0.0076950639634404665,0.0076950639634404665,0.3847531981720233,0.7695063963440466,3.2855157433052806,228.55157433052807,Country × Gender × Age,country:United States of America × gender:Female × age_group:46-55,Highly Over-represented
Indonesia,Female,26-35,0.0034596794876443,10.0,0.011061946902654867,0.007602267415010567,0.007602267415010567,0.38011337075052837,0.7602267415010567,3.19739066643626,219.739066643626,Country × Gender × Age,country:Indonesia × gender:Female × age_group:26-35,Highly Over-represented
