country,population_proportion,sample_count,sample_proportion,absolute_deviation,signed_deviation,gri_contribution_points,deviation_percentage_points,representation_ratio,over_under_representation_pct,dimension,stratum_id,representation_category
China,0.1955788625615539,35.0,0.03871681415929203,0.15686204840226187,-0.15686204840226187,7.843102420113094,-15.686204840226187,0.19796011517914833,-80.20398848208517,Country,country:China,Highly Under-represented
Kenya,0.0057055867148307,127.0,0.1404867256637168,0.1347811389488861,0.1347811389488861,6.739056947444305,13.47811389488861,24.6226606807229,2362.2660680722897,Country,country:Kenya,Highly Over-represented
India,0.1776373174644093,192.0,0.21238938053097345,0.03475206306656414,0.03475206306656414,1.737603153328207,3.475206306656414,1.195634923802128,19.5634923802128,Country,country:India,Over-represented
Chile,0.0026770897683811,30.0,0.033185840707964605,0.030508750939583506,0.030508750939583506,1.5254375469791752,3.0508750939583504,12.396237548669454,1139.6237548669453,Country,country:Chile,Highly Over-represented
Israel,0.001104328373855,23.0,0.025442477876106196,0.024338149502251195,0.024338149502251195,1.2169074751125597,2.4338149502251194,23.03887003037996,2203.8870030379962,Country,country:Israel,Highly Over-represented
United States of America,0.0466525993912019,64.0,0.07079646017699115,0.02414386078578925,0.02414386078578925,1.2071930392894625,2.414386078578925,1.5175244488165107,51.75244488165107,Country,country:United States of America,Highly Over-represented
Nigeria,0.0219761346397153,0.0,0.0,0.0219761346397153,-0.0219761346397153,1.098806731985765,-2.19761346397153,0.0,-100.0,Country,country:Nigeria,Missing
United Kingdom,0.0093497055234219,28.0,0.030973451327433628,0.02162374580401173,0.02162374580401173,1.0811872902005863,2.1623745804011727,3.3127729263603216,231.27729263603217,Country,country:United Kingdom,Highly Over-represented
Canada,0.0054860396411031,20.0,0.022123893805309734,0.016637854164206635,0.016637854164206635,0.8318927082103318,1.6637854164206636,4.03276229350417,303.276229350417,Country,country:Canada,Highly Over-represented
Ethiopia,0.0128613049271505,0.0,0.0,0.0128613049271505,-0.0128613049271505,0.6430652463575249,-1.2861304927150499,0.0,-100.0,Country,country:Ethiopia,Missing
Egypt,0.0127546630677648,23.0,0.025442477876106196,0.012687814808341396,0.012687814808341396,0.6343907404170698,1.2687814808341396,1.9947589160867485,99.47589160867484,Country,country:Egypt,Highly Over-represented
Viet Nam,0.0126364834492493,22.0,0.024336283185840708,0.011699799736591408,0.011699799736591408,0.5849899868295704,1.1699799736591407,1.925874653623391,92.5874653623391,Country,country:Viet Nam,Highly Over-represented
Iran (Islamic Republic of),0.0115244082942642,0.0,0.0,0.0115244082942642,-0.0115244082942642,0.57622041471321,-1.15244082942642,0.0,-100.0,Country,country:Iran (Islamic Republic of),Missing
Bangladesh,0.0202464597210235,8.0,0.008849557522123894,0.011396902198899606,-0.011396902198899606,0.5698451099449803,-1.1396902198899606,0.43709160238689526,-56.29083976131047,Country,country:Bangladesh,Highly Under-represented
Romania,0.0026510473977738,12.0,0.01327433628318584,0.01062328888541204,0.01062328888541204,0.531164444270602,1.062328888541204,5.007204433362029,400.7204433362029,Country,country:Romania,Highly Over-represented
Republic of Korea,0.0075939882341228,16.0,0.017699115044247787,0.010105126810124987,0.010105126810124987,0.5052563405062493,1.0105126810124987,2.330674541306062,133.0674541306062,Country,country:Republic of Korea,Highly Over-represented
Thailand,0.0100350484157338,0.0,0.0,0.0100350484157338,-0.0100350484157338,0.5017524207866899,-1.0035048415733798,0.0,-100.0,Country,country:Thailand,Missing
Russian Federation,0.0197739060720918,9.0,0.00995575221238938,0.009818153859702418,-0.009818153859702418,0.49090769298512094,-0.9818153859702419,0.5034792911472651,-49.65207088527349,Country,country:Russian Federation,Under-represented
Democratic Republic of the Congo,0.0094003068384628,0.0,0.0,0.0094003068384628,-0.0094003068384628,0.47001534192314,-0.94003068384628,0.0,-100.0,Country,country:Democratic Republic of the Congo,Missing
Kazakhstan,0.0023611199933542,9.0,0.00995575221238938,0.00759463221903518,0.00759463221903518,0.379731610951759,0.759463221903518,4.216538016031226,321.6538016031226,Country,country:Kazakhstan,Highly Over-represented
Colombia,0.0068473303932925,0.0,0.0,0.0068473303932925,-0.0068473303932925,0.342366519664625,-0.68473303932925,0.0,-100.0,Country,country:Colombia,Missing
Myanmar,0.0067352493046027,0.0,0.0,0.0067352493046027,-0.0067352493046027,0.33676246523013503,-0.6735249304602701,0.0,-100.0,Country,country:Myanmar,Missing
Morocco,0.0045973025378454,10.0,0.011061946902654867,0.006464644364809467,0.006464644364809467,0.3232322182404733,0.6464644364809466,2.4061820625447083,140.61820625447083,Country,country:Morocco,Highly Over-represented
Brazil,0.0278633586482757,31.0,0.034292035398230086,0.006428676749954388,0.006428676749954388,0.3214338374977194,0.6428676749954388,1.2307215304193855,23.07215304193855,Country,country:Brazil,Over-represented
United Republic of Tanzania,0.0062890676765392,0.0,0.0,0.0062890676765392,-0.0062890676765392,0.31445338382696003,-0.6289067676539201,0.0,-100.0,Country,country:United Republic of Tanzania,Missing
Australia,0.0035734088276384,8.0,0.008849557522123894,0.005276148694485494,0.005276148694485494,0.2638074347242747,0.5276148694485494,2.4765029552950435,147.65029552950435,Country,country:Australia,Highly Over-represented
Indonesia,0.0347899699293032,36.0,0.03982300884955752,0.005033038920254321,0.005033038920254321,0.251651946012716,0.503303892025432,1.1446692518125763,14.46692518125763,Country,country:Indonesia,Over-represented
Sudan,0.0048953063736559,0.0,0.0,0.0048953063736559,-0.0048953063736559,0.244765318682795,-0.48953063736559,0.0,-100.0,Country,country:Sudan,Missing
Iraq,0.0046736165732327,0.0,0.0,0.0046736165732327,-0.0046736165732327,0.233680828661635,-0.46736165732327,0.0,-100.0,Country,country:Iraq,Missing
Malawi,0.0020413592403275,6.0,0.00663716814159292,0.00459580890126542,0.00459580890126542,0.22979044506327098,0.45958089012654196,3.2513474407023546,225.13474407023546,Country,country:Malawi,Highly Over-represented
