region,environment,population_proportion,sample_count,sample_proportion,absolute_deviation,signed_deviation,gri_contribution_points,deviation_percentage_points,representation_ratio,over_under_representation_pct,dimension,stratum_id,representation_category
Southern Asia,Urban,0.0805561211080706,201.0,0.22234513274336284,0.14178901163529223,0.14178901163529223,7.089450581764611,14.178901163529222,2.7601270975432675,176.01270975432675,Region × Environment,region:Southern Asia × environment:Urban,Highly Over-represented
Southern Asia,Rural,0.1565096491993479,19.0,0.02101769911504425,0.13549195008430365,-0.13549195008430365,6.7745975042151825,-13.549195008430365,0.1342901170794511,-86.57098829205489,Region × Environment,region:Southern Asia × environment:Rural,Highly Under-represented
Eastern Africa,Urban,0.0158944713070971,127.0,0.1404867256637168,0.1245922543566197,0.1245922543566197,6.229612717830985,12.45922543566197,8.838716491374427,783.8716491374428,Region × Environment,region:Eastern Africa × environment:Urban,Highly Over-represented
Eastern Asia,Rural,0.0804560248636974,5.0,0.0055309734513274336,0.07492505141236998,-0.07492505141236998,3.746252570618499,-7.492505141236998,0.06874529857394267,-93.12547014260574,Region × Environment,region:Eastern Asia × environment:Rural,Highly Under-represented
Eastern Asia,Urban,0.1362292853835638,63.0,0.06969026548672566,0.06653901989683814,-0.06653901989683814,3.3269509948419067,-6.653901989683813,0.5115659624177539,-48.84340375822461,Region × Environment,region:Eastern Asia × environment:Urban,Under-represented
Northern America,Urban,0.0391720887649302,79.0,0.08738938053097345,0.048217291766043245,0.048217291766043245,2.410864588302162,4.821729176604324,2.230909386920694,123.09093869206941,Region × Environment,region:Northern America × environment:Urban,Highly Over-represented
South-eastern Asia,Urban,0.0419753076714862,76.0,0.084070796460177,0.042095488788690794,0.042095488788690794,2.10477443943454,4.20954887886908,2.0028631384466595,100.28631384466595,Region × Environment,region:South-eastern Asia × environment:Urban,Highly Over-represented
South-eastern Asia,Rural,0.0439235159880167,5.0,0.0055309734513274336,0.038392542536689264,-0.038392542536689264,1.9196271268344631,-3.8392542536689263,0.12592283033162474,-87.40771696683753,Region × Environment,region:South-eastern Asia × environment:Rural,Highly Under-represented
Eastern Africa,Rural,0.040920235608741,6.0,0.00663716814159292,0.034283067467148085,-0.034283067467148085,1.7141533733574041,-3.4283067467148083,0.16219770103608958,-83.78022989639105,Region × Environment,region:Eastern Africa × environment:Rural,Highly Under-represented
South America,Urban,0.0472116252092653,67.0,0.07411504424778761,0.026903419038522315,0.026903419038522315,1.3451709519261157,2.6903419038522314,1.5698473399141215,56.98473399141215,Region × Environment,region:South America × environment:Urban,Highly Over-represented
