region,gender,age_group,population_proportion,sample_count,sample_proportion,absolute_deviation,signed_deviation,gri_contribution_points,deviation_percentage_points,representation_ratio,over_under_representation_pct,dimension,stratum_id,representation_category
Eastern Africa,Male,26-35,0.0058776641509956,41.0,0.04535398230088496,0.039476318149889354,0.039476318149889354,1.9738159074944677,3.9476318149889353,7.716327632160231,671.6327632160231,Region × Gender × Age,region:Eastern Africa × gender:Male × age_group:26-35,Highly Over-represented
Eastern Africa,Female,26-35,0.00598381153499,29.0,0.032079646017699116,0.026095834482709118,0.026095834482709118,1.3047917241354559,2.6095834482709117,5.361072258060803,436.1072258060803,Region × Gender × Age,region:Eastern Africa × gender:Female × age_group:26-35,Highly Over-represented
Southern Asia,Male,26-35,0.0272248260930048,47.0,0.051991150442477874,0.024766324349473075,0.024766324349473075,1.2383162174736537,2.4766324349473074,1.9096963288164615,90.96963288164615,Region × Gender × Age,region:Southern Asia × gender:Male × age_group:26-35,Highly Over-represented
Eastern Asia,Female,65+,0.0235358748489377,0.0,0.0,0.0235358748489377,-0.0235358748489377,1.176793742446885,-2.35358748489377,0.0,-100.0,Region × Gender × Age,region:Eastern Asia × gender:Female × age_group:65+,Missing
Southern Asia,Female,18-25,0.0285050228810246,44.0,0.048672566371681415,0.020167543490656817,0.020167543490656817,1.008377174532841,2.016754349065682,1.7075084126342546,70.75084126342546,Region × Gender × Age,region:Southern Asia × gender:Female × age_group:18-25,Highly Over-represented
Eastern Africa,Male,18-25,0.0083872915868638,25.0,0.02765486725663717,0.01926757566977337,0.01926757566977337,0.9633787834886686,1.9267575669773371,3.2972345089266124,229.72345089266125,Region × Gender × Age,region:Eastern Africa × gender:Male × age_group:18-25,Highly Over-represented
Eastern Asia,Male,46-55,0.0214780330955675,2.0,0.0022123893805309734,0.019265643715036525,-0.019265643715036525,0.9632821857518262,-1.9265643715036525,0.10300707567992119,-89.69929243200788,Region × Gender × Age,region:Eastern Asia × gender:Male × age_group:46-55,Highly Under-represented
Eastern Asia,Male,65+,0.0191935567878614,0.0,0.0,0.0191935567878614,-0.0191935567878614,0.95967783939307,-1.91935567878614,0.0,-100.0,Region × Gender × Age,region:Eastern Asia × gender:Male × age_group:65+,Missing
Eastern Asia,Female,56-65,0.0184249772046844,1.0,0.0011061946902654867,0.017318782514418915,-0.017318782514418915,0.8659391257209458,-1.7318782514418916,0.060037777956341014,-93.99622220436589,Region × Gender × Age,region:Eastern Asia × gender:Female × age_group:56-65,Highly Under-represented
Southern Asia,Male,18-25,0.0305801712730895,43.0,0.04756637168141593,0.016986200408326428,0.016986200408326428,0.8493100204163214,1.6986200408326428,1.5554645281949175,55.546452819491755,Region × Gender × Age,region:Southern Asia × gender:Male × age_group:18-25,Highly Over-represented
Southern Asia,Female,26-35,0.0257254118815184,38.0,0.0420353982300885,0.0163099863485701,0.0163099863485701,0.8154993174285049,1.6309986348570098,1.6340029237894336,63.400292378943355,Region × Gender × Age,region:Southern Asia × gender:Female × age_group:26-35,Highly Over-represented
Eastern Asia,Male,36-45,0.0205675390750936,4.0,0.004424778761061947,0.016142760314031654,-0.016142760314031654,0.8071380157015827,-1.6142760314031654,0.2151340879872285,-78.48659120127715,Region × Gender × Age,region:Eastern Asia × gender:Male × age_group:36-45,Highly Under-represented
Eastern Asia,Male,56-65,0.0180607136664427,2.0,0.0022123893805309734,0.015848324285911725,-0.015848324285911725,0.7924162142955863,-1.5848324285911726,0.12249733988317713,-87.75026601168229,Region × Gender × Age,region:Eastern Asia × gender:Male × age_group:56-65,Highly Under-represented
Eastern Asia,Female,46-55,0.0210588827888939,5.0,0.0055309734513274336,0.015527909337566466,-0.015527909337566466,0.7763954668783233,-1.5527909337566466,0.2626432516279722,-73.73567483720278,Region × Gender × Age,region:Eastern Asia × gender:Female × age_group:46-55,Highly Under-represented
South America,Male,26-35,0.0056111419150965,19.0,0.02101769911504425,0.015406557199947749,0.015406557199947749,0.7703278599973874,1.5406557199947748,3.745707991896831,274.5707991896831,Region × Gender × Age,region:South America × gender:Male × age_group:26-35,Highly Over-represented
Eastern Asia,Male,26-35,0.0197509953789626,5.0,0.0055309734513274336,0.014220021927635168,-0.014220021927635168,0.7110010963817583,-1.4220021927635167,0.2800351752002659,-71.99648247997341,Region × Gender × Age,region:Eastern Asia × gender:Male × age_group:26-35,Highly Under-represented
Northern America,Female,26-35,0.0042055132028225,15.0,0.016592920353982302,0.012387407151159803,0.012387407151159803,0.6193703575579902,1.2387407151159804,3.9455161721632646,294.55161721632646,Region × Gender × Age,region:Northern America × gender:Female × age_group:26-35,Highly Over-represented
Western Europe,Male,26-35,0.0020487763711967,13.0,0.014380530973451327,0.012331754602254627,0.012331754602254627,0.6165877301127314,1.2331754602254628,7.019082792843609,601.9082792843609,Region × Gender × Age,region:Western Europe × gender:Male × age_group:26-35,Highly Over-represented
South-eastern Asia,Male,18-25,0.0092595461770788,19.0,0.02101769911504425,0.01175815293796545,0.01175815293796545,0.5879076468982725,1.175815293796545,2.2698411685738695,126.98411685738695,Region × Gender × Age,region:South-eastern Asia × gender:Male × age_group:18-25,Highly Over-represented
South-eastern Asia,Female,26-35,0.0088016619647551,18.0,0.01991150442477876,0.011109842460023662,0.011109842460023662,0.5554921230011831,1.1109842460023662,2.262243710848169,126.2243710848169,Region × Gender × Age,region:South-eastern Asia × gender:Female × age_group:26-35,Highly Over-represented
Southern Asia,Female,65+,0.0109710903314237,0.0,0.0,0.0109710903314237,-0.0109710903314237,0.548554516571185,-1.09710903314237,0.0,-100.0,Region × Gender × Age,region:Southern Asia × gender:Female × age_group:65+,Missing
Southern Asia,Male,56-65,0.0119305374156342,1.0,0.0011061946902654867,0.010824342725368714,-0.010824342725368714,0.5412171362684357,-1.0824342725368714,0.09271960279139563,-90.72803972086044,Region × Gender × Age,region:Southern Asia × gender:Male × age_group:56-65,Highly Under-represented
Eastern Africa,Female,18-25,0.0083688311722561,17.0,0.018805309734513276,0.010436478562257176,0.010436478562257176,0.5218239281128588,1.0436478562257177,2.2470652528940516,124.70652528940516,Region × Gender × Age,region:Eastern Africa × gender:Female × age_group:18-25,Highly Over-represented
Southern Asia,Male,46-55,0.0168039220469435,6.0,0.00663716814159292,0.01016675390535058,-0.01016675390535058,0.508337695267529,-1.016675390535058,0.3949773227375908,-60.50226772624092,Region × Gender × Age,region:Southern Asia × gender:Male × age_group:46-55,Highly Under-represented
Northern America,Male,36-45,0.0043858318955087,13.0,0.014380530973451327,0.009994699077942627,0.009994699077942627,0.49973495389713135,0.9994699077942627,3.2788605026512014,227.88605026512013,Region × Gender × Age,region:Northern America × gender:Male × age_group:36-45,Highly Over-represented
Southern Asia,Male,65+,0.009863795105221,0.0,0.0,0.009863795105221,-0.009863795105221,0.49318975526105,-0.9863795105221,0.0,-100.0,Region × Gender × Age,region:Southern Asia × gender:Male × age_group:65+,Missing
Northern Europe,Male,26-35,0.0012060254793279,10.0,0.011061946902654867,0.009855921423326967,0.009855921423326967,0.4927960711663484,0.9855921423326968,9.172233167759876,817.2233167759875,Region × Gender × Age,region:Northern Europe × gender:Male × age_group:26-35,Highly Over-represented
Eastern Asia,Male,18-25,0.0163768601340094,6.0,0.00663716814159292,0.00973969199241648,-0.00973969199241648,0.486984599620824,-0.973969199241648,0.4052772074306042,-59.472279256939586,Region × Gender × Age,region:Eastern Asia × gender:Male × age_group:18-25,Highly Under-represented
Southern Asia,Female,46-55,0.0162664272966239,6.0,0.00663716814159292,0.009629259155030979,-0.009629259155030979,0.48146295775154896,-0.9629259155030979,0.4080286359482556,-59.19713640517443,Region × Gender × Age,region:Southern Asia × gender:Female × age_group:46-55,Highly Under-represented
Northern America,Female,46-55,0.003774001011367,12.0,0.01327433628318584,0.00950033527181884,0.00950033527181884,0.475016763590942,0.950033527181884,3.5173112681222296,251.73112681222295,Region × Gender × Age,region:Northern America × gender:Female × age_group:46-55,Highly Over-represented
