region,religion,population_proportion,sample_count,sample_proportion,absolute_deviation,signed_deviation,gri_contribution_points,deviation_percentage_points,representation_ratio,over_under_representation_pct,dimension,stratum_id,representation_category
Eastern Africa,Christianity,0.034520165357053,124.0,0.13716814159292035,0.10264797623586736,0.10264797623586736,5.132398811793368,10.264797623586736,3.973565600690114,297.3565600690114,Region × Religion,region:Eastern Africa × religion:Christianity,Highly Over-represented
Eastern Asia,I do not identify with any religious group or faith,0.1189299435913116,44.0,0.048672566371681415,0.07025737721963018,-0.07025737721963018,3.5128688609815093,-7.025737721963019,0.4092540944855639,-59.07459055144362,Region × Religion,region:Eastern Asia × religion:I do not identify with any religious group or faith,Highly Under-represented
Eastern Asia,Other religious group,0.0481039573880913,0.0,0.0,0.0481039573880913,-0.0481039573880913,2.405197869404565,-4.81039573880913,0.0,-100.0,Region × Religion,region:Eastern Asia × religion:Other religious group,Missing
South America,I do not identify with any religious group or faith,0.0045431021785347,36.0,0.03982300884955752,0.03527990667102282,0.03527990667102282,1.763995333551141,3.527990667102282,8.76559832568013,776.559832568013,Region × Religion,region:South America × religion:I do not identify with any religious group or faith,Highly Over-represented
Northern America,I do not identify with any religious group or faith,0.0085539682717455,38.0,0.0420353982300885,0.033481429958342995,0.033481429958342995,1.6740714979171498,3.3481429958342996,4.914140068643354,391.41400686433536,Region × Religion,region:Northern America × religion:I do not identify with any religious group or faith,Highly Over-represented
Eastern Asia,Buddhism,0.0447901174000824,13.0,0.014380530973451327,0.030409586426631073,-0.030409586426631073,1.5204793213315537,-3.0409586426631074,0.3210648198351199,-67.893518016488,Region × Religion,region:Eastern Asia × religion:Buddhism,Highly Under-represented
Western Asia,Islam,0.0406688578024887,14.0,0.015486725663716814,0.02518213213877189,-0.02518213213877189,1.2591066069385946,-2.518213213877189,0.3808006051935177,-61.919939480648225,Region × Religion,region:Western Asia × religion:Islam,Highly Under-represented
Western Africa,Islam,0.0235463175738177,0.0,0.0,0.0235463175738177,-0.0235463175738177,1.177315878690885,-2.35463175738177,0.0,-100.0,Region × Religion,region:Western Africa × religion:Islam,Missing
Western Asia,Judaism,0.000836237558009,17.0,0.018805309734513276,0.017969072176504276,0.017969072176504276,0.8984536088252137,1.7969072176504275,22.487999437966984,2148.7999437966982,Region × Religion,region:Western Asia × religion:Judaism,Highly Over-represented
Western Africa,Christianity,0.0179488196078693,0.0,0.0,0.0179488196078693,-0.0179488196078693,0.8974409803934651,-1.7948819607869302,0.0,-100.0,Region × Religion,region:Western Africa × religion:Christianity,Missing
Southern Asia,Christianity,0.0051341315488068,19.0,0.02101769911504425,0.01588356756623745,0.01588356756623745,0.7941783783118725,1.588356756623745,4.093720411182078,309.3720411182078,Region × Religion,region:Southern Asia × religion:Christianity,Highly Over-represented
Northern Europe,I do not identify with any religious group or faith,0.0029378382428648,17.0,0.018805309734513276,0.015867471491648476,0.015867471491648476,0.7933735745824239,1.5867471491648477,6.401070508284858,540.1070508284857,Region × Religion,region:Northern Europe × religion:I do not identify with any religious group or faith,Highly Over-represented
Western Europe,I do not identify with any religious group or faith,0.0072800465644789,20.0,0.022123893805309734,0.014843847240830835,0.014843847240830835,0.7421923620415417,1.4843847240830834,3.0389769638641515,203.89769638641516,Region × Religion,region:Western Europe × religion:I do not identify with any religious group or faith,Highly Over-represented
Central America,Christianity,0.0212373174376549,6.0,0.00663716814159292,0.01460014929606198,-0.01460014929606198,0.730007464803099,-1.460014929606198,0.31252384681244466,-68.74761531875552,Region × Religion,region:Central America × religion:Christianity,Highly Under-represented
Middle Africa,Christianity,0.0156826072975419,1.0,0.0011061946902654867,0.014576412607276412,-0.014576412607276412,0.7288206303638206,-1.4576412607276412,0.07053640184173153,-92.94635981582685,Region × Religion,region:Middle Africa × religion:Christianity,Highly Under-represented
South America,Christianity,0.0509939467703173,33.0,0.03650442477876106,0.014489521991556238,-0.014489521991556238,0.7244760995778119,-1.4489521991556238,0.7158580006207651,-28.41419993792349,Region × Religion,region:South America × religion:Christianity,Under-represented
Southern Europe,I do not identify with any religious group or faith,0.0026852194354608,15.0,0.016592920353982302,0.013907700918521502,0.013907700918521502,0.6953850459260751,1.3907700918521502,6.179353588335269,517.935358833527,Region × Religion,region:Southern Europe × religion:I do not identify with any religious group or faith,Highly Over-represented
South-eastern Asia,I do not identify with any religious group or faith,0.0040296475433287,16.0,0.017699115044247787,0.013669467500919089,0.013669467500919089,0.6834733750459544,1.3669467500919088,4.392224097501935,339.2224097501935,Region × Religion,region:South-eastern Asia × religion:I do not identify with any religious group or faith,Highly Over-represented
Southern Asia,Islam,0.0742965957146281,55.0,0.06084070796460177,0.013455887750026332,-0.013455887750026332,0.6727943875013166,-1.3455887750026332,0.8188895787135367,-18.111042128646325,Region × Religion,region:Southern Asia × religion:Islam,Under-represented
South-eastern Asia,Buddhism,0.0208199107859146,8.0,0.008849557522123894,0.011970353263790708,-0.011970353263790708,0.5985176631895354,-1.1970353263790707,0.4250526149281547,-57.49473850718453,Region × Religion,region:South-eastern Asia × religion:Buddhism,Highly Under-represented
Southern Asia,I do not identify with any religious group or faith,0.0001290799558536,10.0,0.011061946902654867,0.010932866946801267,0.010932866946801267,0.5466433473400634,1.0932866946801267,85.69840940448658,8469.840940448657,Region × Religion,region:Southern Asia × religion:I do not identify with any religious group or faith,Highly Over-represented
Eastern Europe,Christianity,0.0336490125328626,21.0,0.023230088495575223,0.010418924037287378,-0.010418924037287378,0.5209462018643689,-1.0418924037287378,0.6903646421388457,-30.963535786115425,Region × Religion,region:Eastern Europe × religion:Christianity,Under-represented
South-eastern Asia,Christianity,0.0183573950113167,26.0,0.028761061946902654,0.010403666935585955,0.010403666935585955,0.5201833467792978,1.0403666935585956,1.566728935623625,56.67289356236249,Region × Religion,region:South-eastern Asia × religion:Christianity,Highly Over-represented
Western Europe,Christianity,0.0180978398523014,7.0,0.007743362831858407,0.010354477020442994,-0.010354477020442994,0.5177238510221497,-1.0354477020442994,0.42786116437391986,-57.21388356260802,Region × Religion,region:Western Europe × religion:Christianity,Highly Under-represented
Northern Europe,Islam,0.0005321106290952,9.0,0.00995575221238938,0.00942364158329418,0.00942364158329418,0.471182079164709,0.942364158329418,18.709929229036685,1770.9929229036686,Region × Religion,region:Northern Europe × religion:Islam,Highly Over-represented
Central America,I do not identify with any religious group or faith,0.0012600838127088,9.0,0.00995575221238938,0.00869566839968058,0.00869566839968058,0.43478341998402903,0.8695668399680581,7.900865094828508,690.0865094828508,Region × Religion,region:Central America × religion:I do not identify with any religious group or faith,Highly Over-represented
Northern Africa,Islam,0.0277308216143509,32.0,0.035398230088495575,0.0076674084741446755,0.0076674084741446755,0.3833704237072338,0.7667408474144676,1.2764940967409613,27.649409674096127,Region × Religion,region:Northern Africa × religion:Islam,Over-represented
Eastern Africa,Islam,0.0106617141362724,3.0,0.00331858407079646,0.0073431300654759404,-0.0073431300654759404,0.367156503273797,-0.734313006547594,0.31126177539371913,-68.87382246062809,Region × Religion,region:Eastern Africa × religion:Islam,Highly Under-represented
Southern Asia,Hinduism,0.1475873276225252,128.0,0.1415929203539823,0.0059944072685428895,-0.0059944072685428895,0.2997203634271445,-0.599440726854289,0.9593839974941859,-4.06160025058141,Region × Religion,region:Southern Asia × religion:Hinduism,Under-represented
South-eastern Asia,Other religious group,0.0070969355841091,1.0,0.0011061946902654867,0.005990740893843613,-0.005990740893843613,0.2995370446921807,-0.5990740893843614,0.15586934348712292,-84.41306565128771,Region × Religion,region:South-eastern Asia × religion:Other religious group,Highly Under-represented
