region,population_proportion,sample_count,sample_proportion,absolute_deviation,signed_deviation,gri_contribution_points,deviation_percentage_points,representation_ratio,over_under_representation_pct,dimension,stratum_id,representation_category
Eastern Asia,0.2297751323710622,68.0,0.0752212389380531,0.1545538934330091,-0.1545538934330091,7.727694671650455,-15.45538934330091,0.32736892875151896,-67.2631071248481,Region,region:Eastern Asia,Highly Under-represented
Eastern Africa,0.0474524957491598,133.0,0.14712389380530974,0.09967139805614994,0.09967139805614994,4.983569902807497,9.967139805614995,3.100445856062581,210.0445856062581,Region,region:Eastern Africa,Highly Over-represented
Western Africa,0.0430302374998269,0.0,0.0,0.0430302374998269,-0.0430302374998269,2.151511874991345,-4.30302374998269,0.0,-100.0,Region,region:Western Africa,Missing
Northern America,0.0521551215453476,84.0,0.09292035398230089,0.04076523243695329,0.04076523243695329,2.0382616218476644,4.076523243695329,1.7816151363295918,78.16151363295918,Region,region:Northern America,Highly Over-represented
Northern Europe,0.0147989891604401,36.0,0.03982300884955752,0.02502401968911742,0.02502401968911742,1.2512009844558711,2.5024019689117423,2.6909276314635293,169.09276314635292,Region,region:Northern Europe,Highly Over-represented
South America,0.0559886244287985,70.0,0.07743362831858407,0.02144500388978557,0.02144500388978557,1.0722501944892784,2.1445003889785568,1.3830243037504426,38.30243037504426,Region,region:South America,Over-represented
Middle Africa,0.0186832581840622,1.0,0.0011061946902654867,0.017577063493796716,-0.017577063493796716,0.8788531746898358,-1.7577063493796716,0.059207804086822975,-94.0792195913177,Region,region:Middle Africa,Highly Under-represented
Southern Asia,0.2340485535276204,220.0,0.24336283185840707,0.009314278330786657,0.009314278330786657,0.46571391653933286,0.9314278330786657,1.03979635075885,3.9796350758849908,Region,region:Southern Asia,Over-represented
Northern Africa,0.0299839987763382,35.0,0.03871681415929203,0.008732815382953833,0.008732815382953833,0.4366407691476917,0.8732815382953834,1.2912491908799475,29.124919087994748,Region,region:Northern Africa,Over-represented
Western Europe,0.0278897306691438,33.0,0.03650442477876106,0.008614694109617262,0.008614694109617262,0.4307347054808631,0.8614694109617262,1.3088840911306558,30.888409113065585,Region,region:Western Europe,Over-represented
Southern Europe,0.0217198315619027,26.0,0.028761061946902654,0.0070412303849999545,0.0070412303849999545,0.35206151924999773,0.7041230384999955,1.3241843918048841,32.41843918048841,Region,region:Southern Europe,Over-represented
Australia and New Zealand,0.0042697950036887,9.0,0.00995575221238938,0.00568595720870068,0.00568595720870068,0.284297860435034,0.568595720870068,2.3316698351533387,133.16698351533387,Region,region:Australia and New Zealand,Highly Over-represented
Central America,0.0221452452235325,15.0,0.016592920353982302,0.005552324869550197,-0.005552324869550197,0.27761624347750985,-0.5552324869550197,0.7492768847892434,-25.07231152107566,Region,region:Central America,Under-represented
South-eastern Asia,0.0861506343459969,81.0,0.08960176991150443,0.0034511355655075238,0.0034511355655075238,0.1725567782753762,0.3451135565507524,1.040059316936044,4.005931693604392,Region,region:South-eastern Asia,Over-represented
Western Asia,0.0475330952379382,40.0,0.04424778761061947,0.003285307627318733,-0.003285307627318733,0.16426538136593666,-0.3285307627318733,0.9308837850581085,-6.911621494189147,Region,region:Western Asia,Under-represented
Eastern Europe,0.0394256767225379,33.0,0.03650442477876106,0.002921251943776834,-0.002921251943776834,0.1460625971888417,-0.2921251943776834,0.9259048369838916,-7.409516301610841,Region,region:Eastern Europe,Under-represented
Caribbean,0.0056238334501394,3.0,0.00331858407079646,0.0023052493793429395,-0.0023052493793429395,0.11526246896714698,-0.23052493793429396,0.590092878855472,-40.9907121144528,Region,region:Caribbean,Under-represented
Melanesia,0.0013967281552309,0.0,0.0,0.0013967281552309,-0.0013967281552309,0.069836407761545,-0.13967281552309,0.0,-100.0,Region,region:Melanesia,Missing
Central Asia,0.0091250488706511,9.0,0.00995575221238938,0.0008307033417382804,0.0008307033417382804,0.041535167086914015,0.08307033417382803,1.0910354950985601,9.103549509856013,Region,region:Central Asia,Over-represented
Southern Africa,0.0086668350080665,8.0,0.008849557522123894,0.00018272251405739362,0.00018272251405739362,0.009136125702869681,0.018272251405739362,1.0210829574910942,2.1082957491094234,Region,region:Southern Africa,Over-represented
Polynesia,7.647886051772233e-05,0.0,0.0,7.647886051772233e-05,-7.647886051772233e-05,0.0038239430258861164,-0.007647886051772233,0.0,-100.0,Region,region:Polynesia,Missing
Micronesia,6.065564799681426e-05,0.0,0.0,6.065564799681426e-05,-6.065564799681426e-05,0.003032782399840713,-0.006065564799681426,0.0,-100.0,Region,region:Micronesia,Missing
