stratum,n_questions,mean_variance,median_variance,std_variance,min_variance,max_variance,consensus_score,dimension
Northern America × Urban,27,0.04838245748847953,0.0,0.059405932543630524,0.0,0.1743328766229529,0.9516175425115204,Region × Environment
Southern Asia × Urban,27,0.037476683626473155,0.0,0.06340552594055576,0.0,0.2504268639726807,0.9625233163735268,Region × Environment
Eastern Africa × Urban,27,0.029032616846236918,0.0,0.05925991047508919,0.0,0.25132229003196743,0.9709673831537631,Region × Environment
Eastern Africa × Rural,27,0.07745443856554966,0.0,0.09462601156484725,0.0,0.2857142857142857,0.9225455614344503,Region × Environment
South America × Urban,27,0.040052852151424394,0.0,0.05760337003789606,0.0,0.170126956853761,0.9599471478485756,Region × Environment
Eastern Asia × Urban,27,0.03270554075227797,0.0,0.04742939960982204,0.0,0.14940791131267323,0.9672944592477221,Region × Environment
Eastern Europe × Urban,27,0.04879861940793839,0.0,0.08255446787251632,0.0,0.2580645161290323,0.9512013805920616,Region × Environment
Western Asia × Urban,27,0.03896675985123608,0.0,0.051573630455067986,0.0,0.16650540235445893,0.9610332401487639,Region × Environment
Central America × Urban,27,0.03899705590526846,0.0,0.06251857704010896,0.0,0.2490118577075099,0.9610029440947315,Region × Environment
Southern Africa × Urban,27,0.0414690275070392,0.0,0.07563322162901498,0.0,0.2605263157894737,0.9585309724929608,Region × Environment
Northern Africa × Urban,27,0.03823939398988131,0.0,0.05124092256009169,0.0,0.17243964612385668,0.9617606060101187,Region × Environment
Western Europe × Urban,27,0.0397016071205886,0.0,0.054780895782995186,0.0,0.1580387205387205,0.9602983928794114,Region × Environment
Western Europe × Rural,27,0.037037037037037035,0.0,0.06993221473197099,0.0,0.2777777777777778,0.962962962962963,Region × Environment
Northern Europe × Urban,27,0.03838978841819935,0.0,0.0643423992243182,0.0,0.2542372881355932,0.9616102115818006,Region × Environment
Western Asia × Rural,27,0.08333333333333333,0.0,0.14163943093313294,0.0,0.33333333333333337,0.9166666666666666,Region × Environment
Urban,25,0.08269166666666666,0.09833333333333333,0.0809373274449861,0.0,0.2566666666666667,0.9173083333333334,Region × Environment
Southern Africa × Rural,27,0.07098765432098766,0.0,0.13361025198711954,0.0,0.33333333333333337,0.9290123456790124,Region × Environment
Southern Europe × Urban,27,0.03982741842824148,0.0,0.061995359316970575,0.0,0.217948717948718,0.9601725815717586,Region × Environment
Northern America × Rural,27,0.07956763743800781,0.0,0.09739020457349276,0.0,0.2692307692307693,0.9204323625619922,Region × Environment
Southern Europe × Rural,27,0.07829218106995886,0.0,0.09634091154565058,0.0,0.30000000000000004,0.9217078189300412,Region × Environment
Southern Asia × Rural,27,0.03263417352537723,0.0,0.06361923296207948,0.0,0.25362318840579706,0.9673658264746228,Region × Environment
Eastern Europe × Rural,27,0.05787037037037037,0.0,0.10211456018570728,0.0,0.25,0.9421296296296297,Region × Environment
Western Africa × Urban,27,0.09475308641975308,0.0,0.10444874929108185,0.0,0.30000000000000004,0.9052469135802469,Region × Environment
Australia and New Zealand × Rural,20,0.08125,0.0,0.17798788582372677,0.0,0.5,0.91875,Region × Environment
South-eastern Asia × Urban,27,0.04123300515705579,0.0,0.06893653553741605,0.0,0.25063291139240507,0.9587669948429443,Region × Environment
Australia and New Zealand × Urban,27,0.07351428225611233,0.0,0.10406918295126519,0.0,0.2647058823529412,0.9264857177438877,Region × Environment
Northern Europe × Rural,27,0.2623456790123457,0.33333333333333337,0.12151246719154031,0.0,0.33333333333333337,0.7376543209876543,Region × Environment
South America × Rural,27,0.08405349794238684,0.0,0.108565469851383,0.0,0.30000000000000004,0.9159465020576132,Region × Environment
Central Asia × Urban,27,0.03824784010781412,0.0,0.0627379269945059,0.0,0.20467836257309946,0.9617521598921859,Region × Environment
Rural,11,0.23863636363636365,0.125,0.24105912994995937,0.0,0.5,0.7613636363636364,Region × Environment
Eastern Asia × Rural,27,0.07407407407407407,0.0,0.13857990321384972,0.0,0.33333333333333337,0.9259259259259259,Region × Environment
South-eastern Asia × Rural,27,0.06172839506172839,0.0,0.09103249857717771,0.0,0.27272727272727265,0.9382716049382716,Region × Environment
