stratum,n_questions,mean_variance,median_variance,std_variance,min_variance,max_variance,consensus_score,dimension
Northern America × Female × 26-35,27,0.0589493204689283,0.0,0.06639454511250155,0.0,0.19831932773109243,0.9410506795310717,Region × Gender × Age
Southern Asia × Male × 18-25,27,0.02740340649291267,0.0,0.045680312763097496,0.0,0.14799850355405916,0.9725965935070874,Region × Gender × Age
Northern America × Male × 26-35,27,0.04926885603214105,0.0,0.060954503659368824,0.0,0.15612648221343875,0.950731143967859,Region × Gender × Age
Southern Asia × Female × 18-25,27,0.05985650903073593,0.0,0.06645874180279893,0.0,0.19061554970246805,0.9401434909692641,Region × Gender × Age
Eastern Africa × Female × 26-35,27,0.019403662922181444,0.0,0.039648393214576076,0.0,0.12987987987987987,0.9805963370778186,Region × Gender × Age
Eastern Africa × Male × 26-35,27,0.023922983638496258,0.0,0.05358328799557608,0.0,0.2434782608695653,0.9760770163615038,Region × Gender × Age
Eastern Africa × Female × 18-25,27,0.02189313601350638,0.0,0.042059342793223556,0.0,0.11965811965811966,0.9781068639864936,Region × Gender × Age
Southern Asia × Female × 36-45,27,0.020797720797720798,0.0,0.051021660060949006,0.0,0.2311538461538462,0.9792022792022792,Region × Gender × Age
Eastern Africa × Male × 18-25,27,0.02688682899707878,0.0,0.04247215166060528,0.0,0.14728682170542637,0.9731131710029213,Region × Gender × Age
South America × Male × 18-25,27,0.0399494674412975,0.0,0.08020314829931319,0.0,0.2573529411764706,0.9600505325587025,Region × Gender × Age
Southern Asia × Female × 26-35,27,0.023694777820794082,0.0,0.042174909685012904,0.0,0.13597560975609754,0.9763052221792059,Region × Gender × Age
Eastern Asia × Male × 36-45,27,0.08765432098765433,0.0,0.0940312356793118,0.0,0.2380952380952381,0.9123456790123456,Region × Gender × Age
Eastern Europe × Female × 36-45,27,0.1388888888888889,0.0,0.16666666666666669,0.0,0.5,0.8611111111111112,Region × Gender × Age
Eastern Africa × Female × 36-45,27,0.04645457423235201,0.0,0.08164162486485624,0.0,0.26373626373626374,0.953545425767648,Region × Gender × Age
Eastern Africa × Male × 36-45,27,0.0515546410608139,0.0,0.07748532365029558,0.0,0.2152777777777778,0.9484453589391861,Region × Gender × Age
Western Asia × Female × 26-35,27,0.04589620484682212,0.0,0.06995677066708093,0.0,0.22499999999999998,0.9541037951531779,Region × Gender × Age
Eastern Europe × Female × 26-35,27,0.06018518518518518,0.0,0.10882091919947369,0.0,0.3333333333333333,0.9398148148148148,Region × Gender × Age
Southern Asia × Female × 56-65,20,0.10625,0.0,0.19872641369480804,0.0,0.5,0.89375,Region × Gender × Age
Central America × Male × 18-25,27,0.02700617283950617,0.0,0.07475414410359792,0.0,0.3333333333333333,0.9729938271604939,Region × Gender × Age
Central America × Male × 26-35,27,0.15123456790123455,0.25,0.14351022145139097,0.0,0.33333333333333337,0.8487654320987654,Region × Gender × Age
Central America × Female × 26-35,27,0.03837448559670782,0.0,0.07647362317652402,0.0,0.2666666666666667,0.9616255144032921,Region × Gender × Age
South America × Female × 18-25,27,0.053695789806900915,0.0,0.06466415814894982,0.0,0.1771978021978022,0.9463042101930991,Region × Gender × Age
Southern Africa × Male × 26-35,27,0.045524691358024685,0.0,0.09821533727863786,0.0,0.3333333333333333,0.9544753086419753,Region × Gender × Age
Northern Africa × Male × 26-35,27,0.057841792409693636,0.0,0.07599151116872072,0.0,0.25,0.9421582075903063,Region × Gender × Age
Southern Asia × Male × 26-35,27,0.016455587766503948,0.0,0.03215464234969927,0.0,0.10433535762483129,0.9835444122334961,Region × Gender × Age
South America × Male × 26-35,27,0.04265057309542011,0.0,0.062159004440177745,0.0,0.17346014492753623,0.9573494269045799,Region × Gender × Age
Eastern Asia × Female × 26-35,27,0.036538190296030795,0.0,0.056591230423236556,0.0,0.15053763440860213,0.9634618097039692,Region × Gender × Age
Western Europe × Male × 46-55,27,0.08796296296296297,0.0,0.09703244263932648,0.0,0.25,0.912037037037037,Region × Gender × Age
Western Europe × Male × 26-35,27,0.03916059934578452,0.0,0.07547688889655135,0.0,0.2692307692307692,0.9608394006542155,Region × Gender × Age
Northern Africa × Male × 18-25,27,0.036694101508916326,0.0,0.05952612031200879,0.0,0.18055555555555555,0.9633058984910837,Region × Gender × Age
Western Europe × Male × 36-45,27,0.10185185185185185,0.0,0.14581496062984836,0.0,0.33333333333333337,0.8981481481481481,Region × Gender × Age
Western Europe × Male × 18-25,27,0.034019204389574766,0.0,0.07440281672321389,0.0,0.2666666666666667,0.9659807956104253,Region × Gender × Age
Eastern Europe × Female × 18-25,27,0.02623456790123457,0.0,0.05908700530579213,0.0,0.16666666666666669,0.9737654320987654,Region × Gender × Age
South America × Female × 26-35,27,0.052768344183400546,0.0,0.06628725739945786,0.0,0.20269726247987122,0.9472316558165994,Region × Gender × Age
Western Asia × Male × 26-35,27,0.02813390313390313,0.0,0.048276554334215724,0.0,0.14102564102564102,0.9718660968660968,Region × Gender × Age
