stratum,n_questions,mean_variance,median_variance,std_variance,min_variance,max_variance,consensus_score,dimension
Northern America × Christianity,30,0.03771311504741457,0.0,0.06479382963992808,0.0,0.251207729468599,0.9622868849525854,Region × Religion
Northern Europe × I do not identify with any religious group or faith,30,0.04122019098870951,0.0,0.0654163518092049,0.0,0.2507122507122507,0.9587798090112905,Region × Religion
Northern America × I do not identify with any religious group or faith,30,0.03188414210128495,0.0,0.05019219277741224,0.0,0.16548752834467118,0.968115857898715,Region × Religion
Eastern Europe × Christianity,30,0.05383306100217865,0.0,0.07256713218605727,0.0,0.2647058823529412,0.9461669389978213,Region × Religion
Western Europe × Christianity,30,0.03756313131313131,0.0,0.07226825919349715,0.0,0.24242424242424246,0.9624368686868687,Region × Religion
Northern Europe × Christianity,30,0.05612874779541446,0.0,0.07577223545865776,0.0,0.2380952380952381,0.9438712522045856,Region × Religion
Southern Africa × Christianity,30,0.04255892255892255,0.0,0.06627383155099534,0.0,0.2545454545454545,0.9574410774410774,Region × Religion
South America × I do not identify with any religious group or faith,30,0.028989791073124407,0.0,0.04467583364960466,0.0,0.14921652421652423,0.9710102089268756,Region × Religion
Central America × Christianity,30,0.07135065937149271,0.0,0.08202400143373448,0.0,0.2727272727272727,0.9286493406285072,Region × Religion
Northern Africa × Islam,30,0.02255190796857464,0.0,0.05514078800079195,0.0,0.25757575757575757,0.9774480920314254,Region × Religion
Eastern Africa × Christianity,30,0.028856620851961248,0.0,0.0572649407940852,0.0,0.2512555899552803,0.9711433791480387,Region × Religion
Central America × I do not identify with any religious group or faith,30,0.062345679012345674,0.0,0.0710566886384257,0.0,0.23809523809523814,0.9376543209876543,Region × Religion
Southern Asia × Islam,30,0.03644825861447725,0.0,0.05306429206909773,0.0,0.17995107242419078,0.9635517413855228,Region × Religion
Western Europe × I do not identify with any religious group or faith,30,0.037141035963499734,0.0,0.06342527451637242,0.0,0.21557971014492752,0.9628589640365003,Region × Religion
Central America × Other religious group,30,0.06095679012345679,0.0,0.09122315495196566,0.0,0.25,0.9390432098765432,Region × Religion
Eastern Africa × I do not identify with any religious group or faith,30,0.0400977366255144,0.0,0.07392374882167403,0.0,0.25,0.9599022633744856,Region × Religion
Eastern Europe × I do not identify with any religious group or faith,30,0.035477941176470594,0.0,0.05912273813565396,0.0,0.25735294117647056,0.9645220588235294,Region × Religion
South America × Christianity,30,0.030477910678251684,0.0,0.06037016910340316,0.0,0.25757575757575757,0.9695220893217483,Region × Religion
Southern Asia × Hinduism,30,0.025304240374209676,0.0,0.055856134723795005,0.0,0.250968351440718,0.9746957596257904,Region × Religion
Southern Europe × Christianity,30,0.04334315375982042,0.0,0.06831813049721785,0.0,0.24242424242424246,0.9566568462401795,Region × Religion
Eastern Africa × Islam,30,0.050694444444444445,0.0,0.09572507976001758,0.0,0.3333333333333333,0.9493055555555555,Region × Religion
South-eastern Asia × I do not identify with any religious group or faith,30,0.03383136924803591,0.0,0.06686481079194143,0.0,0.2651515151515152,0.9661686307519641,Region × Religion
South America × Other religious group,30,0.03675595238095238,0.0,0.08457579827199191,0.0,0.2857142857142857,0.9632440476190476,Region × Religion
Southern Asia × Other religious group,30,0.0638888888888889,0.0,0.12853039223621415,0.0,0.33333333333333337,0.9361111111111111,Region × Religion
Southern Europe × I do not identify with any religious group or faith,30,0.047194163860830536,0.0,0.06592143770115116,0.0,0.20454545454545456,0.9528058361391695,Region × Religion
I do not identify with any religious group or faith,28,0.08229221175649747,0.0943986568986569,0.0819771546113312,0.0,0.2101648351648352,0.9177077882435025,Region × Religion
Western Asia × Judaism,30,0.06144316730523627,0.0,0.07294555055828644,0.0,0.2402298850574712,0.9385568326947638,Region × Religion
Western Asia × I do not identify with any religious group or faith,30,0.0801273148148148,0.0939814814814815,0.07774688534192094,0.0,0.215625,0.9198726851851852,Region × Religion
Australia and New Zealand × Christianity,30,0.06798941798941799,0.0,0.08543690284277398,0.0,0.23809523809523805,0.932010582010582,Region × Religion
Western Asia × Islam,30,0.04315977232643899,0.0,0.07415134690737862,0.0,0.2727272727272727,0.956840227673561,Region × Religion
Southern Asia × Christianity,30,0.055601343101343105,0.0,0.0784029447015344,0.0,0.2637362637362637,0.9443986568986569,Region × Religion
South America × Buddhism,30,0.13611111111111113,0.16666666666666666,0.1334779308525996,0.0,0.33333333333333337,0.8638888888888889,Region × Religion
Northern Europe × Islam,30,0.03464590964590964,0.0,0.06472729376437483,0.0,0.2637362637362637,0.9653540903540904,Region × Religion
