stratum,n_questions,mean_variance,median_variance,std_variance,min_variance,max_variance,consensus_score,dimension
Northern America,66,0.06963211222428692,0.06830592105263159,0.058552478025434576,0.0,0.2504627915586819,0.9303678877757131,Region
Northern Europe,66,0.07492558900856026,0.07433712121212122,0.06184578133355196,0.0,0.25757575757575757,0.9250744109914397,Region
Southern Europe,66,0.0695365000505399,0.0638457556935818,0.0615151839546174,0.0,0.2590579710144928,0.9304634999494601,Region
Central America,66,0.06101296239163886,0.05422794117647059,0.05396046824080345,0.0,0.25,0.9389870376083611,Region
Western Europe,66,0.061465777550336366,0.057765814659197015,0.050528974085622756,0.0,0.2521008403361345,0.9385342224496637,Region
Southern Africa,66,0.0738260582010582,0.06696428571428571,0.07670729601921618,0.0,0.2857142857142857,0.9261739417989419,Region
Eastern Europe,66,0.05969743361041751,0.05369623655913977,0.054708588521590426,0.0,0.2451612903225807,0.9403025663895825,Region
Eastern Asia,66,0.057274971181036353,0.04815323565323565,0.054364520931785926,0.0,0.24186046511627896,0.9427250288189637,Region
Southern Asia,66,0.05913083406031502,0.059307638399411985,0.054544560913309295,0.0,0.23977174849267865,0.940869165939685,Region
Eastern Africa,66,0.06148029191113189,0.05433345597252881,0.060810156321818895,0.0,0.25156732891832234,0.9385197080888681,Region
South America,66,0.06539159527358268,0.06874733589087811,0.05742649626237793,0.0,0.23337856173677068,0.9346084047264174,Region
Western Asia,66,0.06691498018950093,0.05651278085229865,0.06009456206505638,0.0,0.2558139534883721,0.9330850198104991,Region
South-eastern Asia,66,0.06590326180263414,0.05827172026049331,0.06203269829095341,0.0,0.2516722408026756,0.9340967381973658,Region
Northern Africa,66,0.06868286840971422,0.07407407407407408,0.05287629929465088,0.0,0.22916666666666669,0.9313171315902857,Region
Australia and New Zealand,66,0.07442878915416794,0.06534090909090909,0.0678463289994677,0.0,0.27272727272727265,0.925571210845832,Region
Central Asia,66,0.0750655738936989,0.07434895833333333,0.0653680073323613,0.0,0.26666666666666666,0.924934426106301,Region
