dimension,sample_size,max_gri_mean,max_gri_std,max_diversity_mean,max_diversity_std,total_strata,relevant_strata,threshold
Country × Gender × Age,100,0.4304565437027474,0.013418288737711385,0.98805,0.02719738038855949,2699,20,0.01
Country × Gender × Age,250,0.5806654562880648,0.010335804374512501,0.9904642857142857,0.0179891903483107,2699,28,0.004
Country × Gender × Age,500,0.6905144492856291,0.007915056083214992,0.9717236842105262,0.020472259286092687,2699,76,0.002
Country × Gender × Age,1000,0.7921167966222785,0.004900697759320385,0.961676646706587,0.014689588178725585,2699,167,0.001
Country × Gender × Age,2000,0.8728720823789424,0.003060468135776436,0.9753723404255321,0.00919320684308558,2699,376,0.0005
Country × Religion,100,0.7211675338598369,0.01753154258468984,0.9619473684210527,0.04655057119596236,1607,19,0.01
Country × Religion,250,0.8391537914703215,0.009095779867221486,0.9759791666666666,0.02537557299571994,1607,48,0.004
Country × Religion,500,0.8977045372940772,0.005460733513009149,0.9803375000000001,0.016940479442743062,1607,80,0.002
Country × Religion,1000,0.9381171701935908,0.0032870535187563533,0.9872033898305084,0.011010102174796307,1607,118,0.001
Country × Religion,2000,0.9650464461761469,0.001607513735075239,0.9943241758241759,0.0065794518076080395,1607,182,0.0005
Country × Environment,100,0.7137534283959467,0.016261582813237647,0.9644375,0.04838158062475843,449,16,0.01
Country × Environment,250,0.84399450581777,0.008900688289731546,0.9772000000000001,0.024153051081451583,449,45,0.004
Country × Environment,500,0.9056092861728058,0.005047307002263892,0.9715421686746987,0.018156254743118008,449,83,0.002
Country × Environment,1000,0.9503124693227294,0.00251766123446256,0.9847013888888888,0.010873747178439341,449,144,0.001
Country × Environment,2000,0.975817157862259,0.0011400984085191595,0.99615625,0.004731724253348053,449,192,0.0005
