stratum,population_pct,variance,proportional_n,optimal_n,difference,pct_change
Other,36.199999999999996,0.25,362,500,138,38.12154696132597
China,18.0,0.054139969402571035,180,116,-64,-35.55555555555556
India,17.5,0.05919342662314802,175,118,-57,-32.57142857142858
United States of America,4.2,0.25,42,58,16,38.095238095238095
Indonesia,3.5000000000000004,0.06820716596758264,35,25,-10,-28.57142857142857
Pakistan,2.8000000000000003,0.05938500549522453,28,19,-9,-32.142857142857146
Brazil,2.7,0.06530956857106283,27,19,-8,-29.629629629629626
Nigeria,2.6,0.25,26,36,10,38.46153846153847
Bangladesh,2.1,0.06676581038560206,21,15,-6,-28.57142857142857
Russian Federation,1.7999999999999998,0.06321022727272728,18,13,-5,-27.77777777777778
Mexico,1.6,0.06075918592490562,16,11,-5,-31.25
Japan,1.6,0.06908763769310021,16,12,-4,-25.0
Ethiopia,1.5,0.25,15,21,6,40.0
Philippines,1.4000000000000001,0.06875444112608715,14,10,-4,-28.57142857142857
Egypt,1.3,0.07687831598816447,13,10,-3,-23.076923076923077
Viet Nam,1.2,0.25,12,17,5,41.66666666666667
