dimension,columns,description,n_samples,gri,diversity,sri,design_effect,effective_n,precision_retention,uncovered_population,max_gri,max_diversity,gri_pct_of_max,diversity_pct_of_max,survey,n_participants,n_countries_claimed
Country × Gender × Age,"['country', 'gender', 'age_group']",Fine-grained demographic representativeness,53444.0,0.5321179209901418,0.995475113122172,0.5979066389525451,2.0142672134294783,16151.779556897924,0.4964584605919323,0.08664115946170138,0.8728720823789424,0.9599740680713128,60.96172987225085,103.69812542146938,Afrobarometer_R9,53444,39
Country × Religion,"['country', 'religion']",Religious representativeness by country,53444.0,0.6233248025926865,0.9736842105263158,0.6902846801447864,2.486620725213602,18389.21373747982,0.4021522019262103,0.023054570161020627,0.9650464461761468,0.9894285714285715,64.59013502018671,98.40874203991062,Afrobarometer_R9,53444,39
Country × Environment,"['country', 'environment']",Urban/rural representativeness by country,53444.0,0.631778886914854,0.9848484848484849,0.7565155577196956,2.2047671239915974,21152.800897886456,0.45356264120519024,0.004790029824519939,0.975817157862259,0.9921604938271604,64.74357227935035,99.26302155506413,Afrobarometer_R9,53444,39
Country,['country'],Country-level representativeness,53444.0,0.6339679689999346,1.0,0.7898710727009044,2.386542301364603,21891.08484275655,0.4190162476601438,0.0,0.995,0.99,63.715373768837644,101.01010101010101,Afrobarometer_R9,53444,39
Region × Gender × Age,"['region', 'gender', 'age_group']",Regional demographic representativeness,53444.0,0.7996252974729513,1.0,0.7772241986230266,1.3987989194065198,38164.17017440196,0.714899036685186,0.0,0.98,0.99,81.59441810948482,101.01010101010101,Afrobarometer_R9,53444,39
Region × Religion,"['region', 'religion']",Regional religious representativeness,53444.0,0.8353043064535857,0.7714285714285715,0.712816231801235,1.5292204603026902,34050.682260485315,0.6539279495397691,0.0008686790466970769,0.98,0.99,85.23513331159037,77.92207792207793,Afrobarometer_R9,53444,39
Region × Environment,"['region', 'environment']",Regional urban/rural representativeness,53444.0,0.8171322216520035,1.0,0.8072313660208998,1.3017843217394474,41054.4197740744,0.7681764047240925,0.0,0.98,0.99,83.38083894408199,101.01010101010101,Afrobarometer_R9,53444,39
Region,['region'],Regional representativeness,53444.0,0.8503869660962082,1.0,0.8055146132721093,1.321146092696523,40452.7556001912,0.7569185614884965,0.0,0.98,0.99,86.7741802138988,101.01010101010101,Afrobarometer_R9,53444,39
Continent,['continent'],Continental representativeness,53444.0,1.0,1.0,1.0,1.0,53444.0,1.0,0.0,0.995,1.0,100.50251256281406,100.0,Afrobarometer_R9,53444,39
Religion,['religion'],Global religious representativeness,53444.0,0.9119240051312839,0.8571428571428571,0.8002640734616955,1.05312418280495,49444.31136441211,0.9495556329705999,0.0005971818519597603,0.999,1.0,91.28368419732573,85.71428571428571,Afrobarometer_R9,53444,39
Environment,['environment'],Global urban/rural representativeness,53444.0,0.9424890589426592,1.0,0.9827807608265228,1.0132596074598088,52744.62695101548,0.9869139089704266,0.0,0.999,1.0,94.34324914340934,100.0,Afrobarometer_R9,53444,39
Age Group,['age_group'],Global age representativeness,53444.0,0.9123018728332402,1.0,0.9091397570423658,1.0430441213316806,51180.96052527799,0.958732214245429,0.0,0.999,1.0,91.32150879211613,100.0,Afrobarometer_R9,53444,39
Gender,['gender'],Global gender representativeness,53444.0,0.9946257370774427,1.0,0.9974624666094882,1.0001155308492624,53437.82628254684,0.9998844824965729,0.0,0.999,1.0,99.56213584358787,100.0,Afrobarometer_R9,53444,39
Overall (Average),,,,0.8065368496274608,0.9678907105437232,0.8174624167057905,,,,,,,,,Afrobarometer_R9,53444,39
