dimension,columns,description,n_samples,gri,diversity,sri,vwrs,max_gri,max_diversity,gri_pct_of_max,diversity_pct_of_max
Country × Gender × Age,"['country', 'gender', 'age_group']",Fine-grained demographic representativeness,971.0,0.3744821176578661,0.4695121951219512,0.23798975971545056,0.9965523800598359,0.7921167966222785,0.9247473404255316,47.276123831071615,50.7719432754357
Country × Religion,"['country', 'religion']",Religious representativeness by country,971.0,0.5151092512276308,0.452991452991453,0.33697125105845915,0.9946007896193574,0.9381171701935908,0.970043956043956,54.90883949190829,46.69803364775837
Country × Environment,"['country', 'environment']",Urban/rural representativeness by country,971.0,0.3871154442580922,0.39416058394160586,0.3145198570446286,0.9902661865637932,0.9503124693227294,0.9765208333333332,40.73559558089166,40.36376598296905
Country,['country'],Country-level representativeness,971.0,0.5588842774125614,0.45544554455445546,0.4209131280329983,0.9847191160177176,,,,
Region × Gender × Age,"['region', 'gender', 'age_group']",Regional demographic representativeness,971.0,0.5806221509607024,0.6193181818181818,0.5317655718038365,0.9927785870386522,,,,
Region × Religion,"['region', 'religion']",Regional religious representativeness,971.0,0.630961856642201,0.803921568627451,0.5803320052580938,0.9835191737162482,,,,
Region × Environment,"['region', 'environment']",Regional urban/rural representativeness,971.0,0.5548884732657537,0.7894736842105263,0.5599282813425597,0.972614188088154,,,,
Region,['region'],Regional representativeness,971.0,0.7831079055388623,0.85,0.7423968926058546,0.9619314421729377,,,,
Continent,['continent'],Continental representativeness,971.0,0.8784344769443623,1.0,0.8762049272252886,0.9146275882670587,,,,
Religion,['religion'],Global religious representativeness,971.0,0.8331041097865762,1.0,0.7718252878695987,0.9502161793565341,,,,
Environment,['environment'],Global urban/rural representativeness,971.0,0.6424554580125361,1.0,0.6161011586433108,0.6424554580125361,,,,
Age Group,['age_group'],Global age representativeness,971.0,0.706135709146958,1.0,0.6622966369103933,0.9039490209918628,,,,
Gender,['gender'],Global gender representativeness,971.0,0.9963737503743695,1.0,0.996899541958991,0.9963737503743695,,,,
Overall (Average),,,,0.6493596139406517,0.7565248624050481,0.5883187922668819,0.9449695277137736,,,,
