dimension,columns,description,n_samples,gri,diversity,sri,design_effect,effective_n,precision_retention,uncovered_population,max_gri,max_diversity,gri_pct_of_max,diversity_pct_of_max
Country × Gender × Age,"['country', 'gender', 'age_group']",Fine-grained demographic representativeness,1057.0,0.34706516236877993,0.5595238095238095,0.3808749762498397,3.0183716998367327,195.46963020886852,0.33130445798113306,0.5313607830907385,0.7921167966222785,0.961676646706587,43.8148974808671,58.18211468896399
Country × Religion,"['country', 'religion']",Religious representativeness by country,1057.0,0.4989660724312126,0.5462184873949579,0.44702809216835704,4.692040800567528,175.40341931818958,0.21312687644980505,0.2677154688466948,0.9381171701935908,0.9872033898305084,53.18803325263149,55.32988369182337
Country × Environment,"['country', 'environment']",Urban/rural representativeness by country,1057.0,0.41421297676589197,0.4206896551724138,0.3870199577389617,9.41598370711664,104.3969520950896,0.1062023927722173,0.2945153808884707,0.9503124693227294,0.9847013888888888,43.58702954419761,42.7225613693009
Country,['country'],Country-level representativeness,1057.0,0.5916813462755501,0.5098039215686274,0.5064524179163004,1.9173215001407482,531.4705957895931,0.5215609379681975,0.20618535970446936,0.995,0.99,59.465461937241216,51.49534561299267
Region × Gender × Age,"['region', 'gender', 'age_group']",Regional demographic representativeness,1057.0,0.5632239053065385,0.6629834254143646,0.5381705930556627,3.1491593964313336,325.80122846835764,0.3175450569867033,0.2393064751882078,0.98,0.99,57.47182707209577,66.96802276912774
Region × Religion,"['region', 'religion']",Regional religious representativeness,1057.0,0.608691476452329,0.7962962962962963,0.5931288388055478,2.713810229516207,354.11466488993153,0.368485603423446,0.08297785709744018,0.98,0.99,62.111375148196835,80.43396932285822
Region × Environment,"['region', 'environment']",Regional urban/rural representativeness,1057.0,0.5196793619419054,0.7894736842105263,0.5386132644098105,8.002458239680768,132.08441310681124,0.12496160180398413,0.05975588569847344,0.98,0.99,53.028506320602595,79.74481658692186
Region,['region'],Regional representativeness,1057.0,0.7382160841279889,0.9,0.7493655095571452,3.594256291551647,294.0803087649855,0.27822167338220005,0.007097040465888022,0.98,0.99,75.32817184979478,90.90909090909092
Continent,['continent'],Continental representativeness,1057.0,0.7725138135513206,1.0,0.8409172751485277,1.218868388686124,867.197812176744,0.8204331241028798,0.0,0.995,1.0,77.63957925138901,100.0
Religion,['religion'],Global religious representativeness,1057.0,0.8128780069188326,1.0,0.7449369375383181,1.3714624626012983,767.0643773980053,0.729148647716735,0.0,0.9966887417218543,1.0,81.55785983039449,100.0
Environment,['environment'],Global urban/rural representativeness,1057.0,0.6351655258550883,1.0,0.608811226485863,2.7621818593572622,382.66850403758554,0.3620326433657384,0.0,0.999,1.0,63.580132718227055,100.0
Age Group,['age_group'],Global age representativeness,1057.0,0.7457792215262995,1.0,0.7019401492897348,2.7614130248897553,382.41291341854196,0.3621334407372556,0.0,0.9966887417218543,1.0,74.82568933586128,100.0
Gender,['gender'],Global gender representativeness,1057.0,0.986387440528902,1.0,0.9858616489442805,1.0007418451984171,1056.2164508974126,0.9992587047279211,0.0,0.999,1.0,98.73748153442463,100.0
Overall (Average),,,,0.6334200303115877,0.7834607138139228,0.6171631451775654,,,,,,,,
