dimension,columns,description,n_samples,gri,diversity,sri,vwrs,max_gri,max_diversity,gri_pct_of_max,diversity_pct_of_max
Country × Gender × Age,"['country', 'gender', 'age_group']",Fine-grained demographic representativeness,1037.0,0.29226227191810095,0.4583333333333333,0.29841847351757844,0.8024300511761814,0.7921167966222785,0.9247473404255316,36.89636088571247,49.56308748316342
Country × Religion,"['country', 'religion']",Religious representativeness by country,1037.0,0.4813077380892825,0.5210084033613446,0.43589277840575114,0.9679124171757705,0.9381171701935908,0.970043956043956,51.305716746444304,53.709772646399124
Country × Environment,"['country', 'environment']",Urban/rural representativeness by country,1037.0,0.34516097911275656,0.3724137931034483,0.334561941979994,0.9796676834913776,0.9503124693227294,0.9765208333333332,36.32078818862038,38.13679958390869
Country,['country'],Country-level representativeness,1037.0,0.5190795866474143,0.47058823529411764,0.45349784895613465,0.9814610208160789,0.995,0.99,52.16880267813209,47.534165181224004
Region × Gender × Age,"['region', 'gender', 'age_group']",Regional demographic representativeness,1037.0,0.5587759555068124,0.6685082872928176,0.5433617312195411,0.9901387804816663,0.98,0.99,57.01795464355228,67.52608962553714
Region × Religion,"['region', 'religion']",Regional religious representativeness,1037.0,0.621105760478247,0.8148148148148148,0.6102141975300746,0.9827757462887996,0.98,0.99,63.378138824310916,82.30452674897118
Region × Environment,"['region', 'environment']",Regional urban/rural representativeness,1037.0,0.5183463863413096,0.7631578947368421,0.5315944994980286,0.9725640931015173,0.98,0.99,52.89248840217445,77.08665603402446
Region,['region'],Regional representativeness,1037.0,0.7338483750756317,0.9,0.7469554272162318,0.9622400690653968,0.98,0.99,74.88248725261548,90.90909090909092
Continent,['continent'],Continental representativeness,1037.0,0.8019634394553138,1.0,0.8819195842254534,0.8756175576685848,0.995,1.0,80.59934064877525,100.0
Religion,['religion'],Global religious representativeness,1037.0,0.8058002436671852,1.0,0.7399702782006061,0.9398260641922415,0.99,1.0,81.39396400678638,100.0
Environment,['environment'],Global urban/rural representativeness,1037.0,0.6203595165987097,1.0,0.5940052172294844,0.6203595165987097,0.99,1.0,62.6625774342131,100.0
Age Group,['age_group'],Global age representativeness,1037.0,0.7555583584551998,1.0,0.7117192862186351,0.9216472630781412,0.99,1.0,76.31902610658584,100.0
Gender,['gender'],Global gender representativeness,1037.0,0.9946089749735708,1.0,0.9951347665581923,0.9946089749735708,0.99,1.0,100.46555302763342,100.0
Overall (Average),,,,0.6190905835630409,0.7668326739951323,0.6059420023658235,0.922403787546772,,,,
