dimension,columns,description,n_samples,gri,diversity,sri,design_effect,effective_n,precision_retention,uncovered_population,max_gri,max_diversity,gri_pct_of_max,diversity_pct_of_max,survey,n_participants,n_countries_claimed
Country × Gender × Age,"['country', 'gender', 'age_group']",Fine-grained demographic representativeness,19214.0,0.48213380352966384,0.9928057553956835,0.6434915411926623,2.453737648993908,5741.445099388039,0.4075415317566751,0.04239891413059336,0.8728720823789424,0.9599740680713128,55.23533324787374,103.42005981373362,Latinobarometro_2024,19214,17
Country × Religion,"['country', 'religion']",Religious representativeness by country,19214.0,0.5159450866992636,0.96875,0.7378618060151367,3.2899080755274994,5483.73984495215,0.30395986059265845,0.009966785726593855,0.9650464461761468,0.9894285714285715,53.463238867271045,97.91004909038405,Latinobarometro_2024,19214,17
Country × Environment,"['country', 'environment']",Urban/rural representativeness by country,19214.0,0.5031970917107873,0.9411764705882353,0.6517831574347097,5.139975022161904,3738.1504612678987,0.19455347461579572,0.004614809985157143,0.975817157862259,0.9921604938271604,51.56673949176612,94.861312906921,Latinobarometro_2024,19214,17
Country,['country'],Country-level representativeness,19214.0,0.5289370869508664,1.0,0.7717765875843003,3.037742884940854,6325.090940135345,0.329191784122793,0.0,0.995,0.99,53.15950622621772,101.01010101010101,Latinobarometro_2024,19214,17
Region × Gender × Age,"['region', 'gender', 'age_group']",Regional demographic representativeness,19214.0,0.9339561996561664,1.0,0.8584631785021846,1.0438829521902218,18406.278174853003,0.957961807788748,0.0,0.98,0.99,95.30165302613943,101.01010101010101,Latinobarometro_2024,19214,17
Region × Religion,"['region', 'religion']",Regional religious representativeness,19214.0,0.849153843839149,0.55,0.7583287739534019,1.3280198786470678,14064.548505876568,0.7530007766290057,0.004023480881849918,0.98,0.99,86.64835141215806,55.55555555555556,Latinobarometro_2024,19214,17
Region × Environment,"['region', 'environment']",Regional urban/rural representativeness,19214.0,0.892926304772682,1.0,0.7037928785005543,1.974748609094576,9729.846073323548,0.5063935710067424,0.0,0.98,0.99,91.11492905843693,101.01010101010101,Latinobarometro_2024,19214,17
Region,['region'],Regional representativeness,19214.0,0.9417151418387937,1.0,0.8886423502604415,1.0178907915854816,18876.28826081823,0.982423662996681,0.0,0.98,0.99,96.09338182028507,101.01010101010101,Latinobarometro_2024,19214,17
Continent,['continent'],Continental representativeness,19214.0,0.7866718785703378,1.0,0.8303525475397399,1.1942279232799278,16089.056054918778,0.8373610937295086,0.0,0.995,1.0,79.06250035882792,100.0,Latinobarometro_2024,19214,17
Religion,['religion'],Global religious representativeness,19214.0,0.8539696689118953,0.5714285714285714,0.8631512462241713,1.1266462898047804,16578.40634547017,0.8875900174253225,0.00264759513767129,0.999,1.0,85.48244934053007,57.14285714285714,Latinobarometro_2024,19214,17
Environment,['environment'],Global urban/rural representativeness,19214.0,0.9105464050585593,1.0,0.7723142812868471,1.0943393905882828,17557.62441272552,0.9137932972169001,0.0,0.999,1.0,91.14578629214807,100.0,Latinobarometro_2024,19214,17
Age Group,['age_group'],Global age representativeness,19214.0,0.9617399573473606,1.0,0.931964727643389,1.0102151989136021,19019.709880293794,0.9898880961951595,0.0,0.999,1.0,96.2702660007368,100.0,Latinobarometro_2024,19214,17
Gender,['gender'],Global gender representativeness,19214.0,0.9956014070414326,1.0,0.9891362289998765,1.000077483574241,19212.51134595077,0.9999225224289982,0.0,0.999,1.0,99.6598005046479,100.0,Latinobarometro_2024,19214,17
Overall (Average),,,,0.781268759686689,0.9249354459548069,0.8000814850105706,,,,,,,,,Latinobarometro_2024,19214,17
