dimension,columns,description,n_samples,gri,diversity,sri,design_effect,effective_n,precision_retention,uncovered_population,max_gri,max_diversity,gri_pct_of_max,diversity_pct_of_max,survey,n_participants,n_countries_claimed
Country × Gender × Age,"['country', 'gender', 'age_group']",Fine-grained demographic representativeness,41483.0,0.47578900384812484,0.9955555555555555,0.5676053541428503,1.9362470061108183,12136.364795316342,0.5164630322701537,0.09767541224193557,0.8728720823789424,0.9599740680713128,54.50844556185144,103.7065050679681,Pew_Spring2024,41483,35
Country × Religion,"['country', 'religion']",Religious representativeness by country,41483.0,0.5342822563205816,0.8059701492537313,0.7086452621301926,2.4028989712131743,14849.979307279984,0.416163980250539,0.06497354459012811,0.9650464461761468,0.9894285714285715,55.36337224364648,81.45814387490786,Pew_Spring2024,41483,35
Country × Environment,"['country', 'environment']",Urban/rural representativeness by country,41483.0,0.547216572032702,0.5238095238095238,0.6464049784555534,2.312950266150175,9748.155993655968,0.4323482500401814,0.29374985723462377,0.975817157862259,0.9921604938271604,56.077777237643545,52.79483783807806,Pew_Spring2024,41483,35
Country,['country'],Country-level representativeness,41483.0,0.5599297364486939,1.0,0.7873380672310968,2.49307274146939,16639.305909522067,0.40111144106072527,0.0,0.995,0.99,56.27434537172803,101.01010101010101,Pew_Spring2024,41483,35
Region × Gender × Age,"['region', 'gender', 'age_group']",Regional demographic representativeness,41483.0,0.6856027561230954,0.9942196531791907,0.7454293930199309,2.4328760540699372,15810.505403944535,0.4110361472493055,0.009128599380756693,0.98,0.99,69.95946491051994,100.42622759385765,Pew_Spring2024,41483,35
Region × Religion,"['region', 'religion']",Regional religious representativeness,41483.0,0.6109672668196411,0.7142857142857143,0.6885265946378853,2.034189794163259,18875.819803134036,0.49159621332744846,0.09103383189423002,0.98,0.99,62.34359865506541,72.15007215007215,Pew_Spring2024,41483,35
Region × Environment,"['region', 'environment']",Regional urban/rural representativeness,41483.0,0.693484214345929,0.625,0.6793410491711898,1.3239642296484888,17319.954335993014,0.7553074151146055,0.34027826351112467,0.98,0.99,70.76369534142133,63.13131313131313,Pew_Spring2024,41483,35
Region,['region'],Regional representativeness,41483.0,0.6834467115949173,1.0,0.7624806513513721,2.002065091754933,20720.105540443543,0.4994842595869041,0.0,0.98,0.99,69.7394603668283,101.01010101010101,Pew_Spring2024,41483,35
Continent,['continent'],Continental representativeness,41483.0,0.7452615414278647,1.0,0.8691719434806761,1.2934291332507408,32072.10888759084,0.7731386082875115,0.0,0.995,1.0,74.90065742993616,100.0,Pew_Spring2024,41483,35
Religion,['religion'],Global religious representativeness,41483.0,0.7146411688075258,0.8571428571428571,0.7336631709769006,1.9171134635609173,20336.824471297725,0.5216175354287915,0.01866107794283329,0.999,1.0,71.53565253328587,85.71428571428571,Pew_Spring2024,41483,35
Environment,['environment'],Global urban/rural representativeness,41483.0,0.7763903285683291,1.0,0.7763903285683291,1.000278366844302,22924.618546278445,0.9997217106222338,0.0,0.999,1.0,77.71674960643935,100.0,Pew_Spring2024,41483,35
Age Group,['age_group'],Global age representativeness,41483.0,0.930693063588167,1.0,0.9691570396032966,1.0302840054105051,38034.172902050224,0.9706061578637836,0.0,0.999,1.0,93.16246882764435,100.0,Pew_Spring2024,41483,35
Gender,['gender'],Global gender representativeness,41483.0,0.9918880877945631,1.0,0.9915506780937928,1.000263293790649,41472.080658677274,0.9997367755147235,0.0,0.999,1.0,99.28809687633265,100.0,Pew_Spring2024,41483,35
Overall (Average),,,,0.6884302082861643,0.8858448810174286,0.7635157316048512,,,,,,,,,Pew_Spring2024,41483,35
