dimension,columns,description,n_samples,gri,diversity,sri,vwrs,max_gri,max_diversity,gri_pct_of_max,diversity_pct_of_max,survey,n_participants
Country × Gender × Age,"['country', 'gender', 'age_group']",Fine-grained demographic representativeness,60012.0,0.19438469897110267,0.6369047619047619,0.2748117773485964,0.7634580934721802,0.8728720823789424,0.9599740680713128,22.269551621048855,66.34603819917442,WVS_Wave_4,60012
Country × Religion,"['country', 'religion']",Religious representativeness by country,60012.0,0.20206393758264607,0.29411764705882354,0.25155462666428596,0.9584432276366956,0.9650464461761468,0.9894285714285715,20.938260369052124,29.726011109035007,WVS_Wave_4,60012
Country × Environment,"['country', 'environment']",Urban/rural representativeness by country,60012.0,0.36840160858827975,0.22758620689655173,0.40903639105925893,0.958919543590306,0.975817157862259,0.9921604938271604,37.75313906094294,22.938446784820123,WVS_Wave_4,60012
Country,['country'],Country-level representativeness,60012.0,0.3079063384216033,0.28431372549019607,0.3656232230993087,0.9880144375235773,0.995,0.99,30.945360645387264,28.718558130322837,WVS_Wave_4,60012
Region × Gender × Age,"['region', 'gender', 'age_group']",Regional demographic representativeness,60012.0,0.5112230253345451,0.7458563535911602,0.5812088600370213,0.9886145654178236,0.98,0.99,52.16561483005563,75.33902561526871,WVS_Wave_4,60012
Region × Religion,"['region', 'religion']",Regional religious representativeness,60012.0,0.423913525945278,0.6111111111111112,0.4535312749596201,0.9342358212059518,0.98,0.99,43.25648223931408,61.728395061728406,WVS_Wave_4,60012
Region × Environment,"['region', 'environment']",Regional urban/rural representativeness,60012.0,0.5817481343913941,0.5681818181818182,0.637943769495523,0.9180715574166816,0.98,0.99,59.36205452973409,57.39210284664831,WVS_Wave_4,60012
Region,['region'],Regional representativeness,60012.0,0.5952371102140747,0.7272727272727273,0.6805735504329715,0.9734179334279526,0.98,0.99,60.73848063408926,73.46189164370983,WVS_Wave_4,60012
Continent,['continent'],Continental representativeness,60012.0,0.8374738959756973,0.8333333333333334,0.8805585192600571,0.9570696619078426,0.995,1.0,84.16823075132636,83.33333333333334,WVS_Wave_4,60012
Religion,['religion'],Global religious representativeness,60012.0,0.6618672522239197,0.8571428571428571,0.6169297083500893,0.8384266000783354,0.99,1.0,66.85527800241613,85.71428571428571,WVS_Wave_4,60012
Environment,['environment'],Global urban/rural representativeness,60012.0,0.8527294541091781,1.0,0.8527294541091782,0.8540403670088708,0.99,1.0,86.13428829385637,100.0,WVS_Wave_4,60012
Age Group,['age_group'],Global age representativeness,60012.0,0.8231090961379429,0.8333333333333334,0.7792700239013781,0.8691094710451701,0.99,1.0,83.14233294322656,83.33333333333334,WVS_Wave_4,60012
Gender,['gender'],Global gender representativeness,60012.0,0.9945695474061705,1.0,0.994043755821549,0.9945695474061705,0.99,1.0,100.46157044506774,100.0,WVS_Wave_4,60012
Overall (Average),,,,0.5657405865616794,0.663011836562821,0.5982934565029875,0.9227992943951968,,,,,WVS_Wave_4,60012
