participant_id,age,gender,environment,religion,country,age_group
04302f02-3568-4833-a54f-3f9f405eb033,18-25,Male,Urban,Islam,India,18-25
3276dc96-1f63-45ed-8241-ddcecb4bbcdc,18-25,Male,Urban,Hinduism,India,18-25
ead9da1b-4797-4abe-800c-adb01b6c5987,18-25,Male,Urban,Hinduism,India,18-25
54ed534d-71d2-4718-88fd-41576605ee8c,26-35,Male,Urban,I do not identify with any religious group or faith,Canada,26-35
0fa79f05-e77f-4f95-a82e-932f79a885c7,18-25,Female,Urban,Hinduism,India,18-25
dcc45427-9a7e-4b70-9080-2020dd736a59,26-35,Female,Urban,Christianity,Kenya,26-35
4e55a2fe-5419-41cb-bf91-2c0ebe107a46,26-35,Female,Urban,Christianity,Kenya,26-35
7ecd9a3b-99c3-4e9e-9009-e4c58e019602,26-35,Male,Urban,Christianity,Kenya,26-35
73d707e1-3e97-4321-aad5-2a0a43cd2465,26-35,Male,Urban,Christianity,Kenya,26-35
136560cc-5b44-42ab-9425-14eddabe0804,18-25,Female,Urban,Christianity,Kenya,18-25
708308a0-1d82-4cdc-9e9d-1b277b29ed14,36-45,Female,Urban,Islam,India,36-45
1f8d9935-c58c-47f6-8c13-da088d406ec7,26-35,Male,Rural,Christianity,Kenya,26-35
3f210d75-5687-412f-bccc-44930316b39d,18-25,Male,Rural,Christianity,Kenya,18-25
5f06e308-d07c-4cf9-81ca-0a601ae95935,18-25,Female,Rural,Christianity,Kenya,18-25
2c5fabfc-4068-4283-85c3-6d716af73788,18-25,Female,Urban,Christianity,Kenya,18-25
4e5edd1f-207d-4f81-b054-3d556e8cff5e,26-35,Female,Urban,Christianity,Kenya,26-35
e8952211-4a25-4491-a920-c7c3659cc4ac,26-35,Male,Urban,Christianity,Kenya,26-35
c266ab88-c0e8-4e5d-9a12-86dd97ff9315,18-25,Male,Urban,I do not identify with any religious group or faith,Chile,18-25
ac0f2355-5741-438d-8d7f-9d3a193ec0c3,26-35,Female,Urban,Hinduism,India,26-35
1904d983-c957-48f6-8dda-477fb4686eac,18-25,Male,Urban,I do not identify with any religious group or faith,Chile,18-25
48795bb0-554e-44f6-ade4-0c4d40ba2d4b,36-45,Male,Urban,I do not identify with any religious group or faith,China,36-45
c774a29d-c46d-4c45-8ce3-f33c23066ba9,26-35,Male,Urban,I do not identify with any religious group or faith,Kenya,26-35
4fb46291-aa2f-4665-8682-54d5eff2c03a,36-45,Female,Urban,I do not identify with any religious group or faith,Russian Federation,36-45
de76353a-59d8-4add-b934-a44871d09146,36-45,Female,Urban,Christianity,Kenya,36-45
64ad1cca-000f-49fb-91ba-a1e7501242bd,36-45,Male,Urban,Christianity,Kenya,36-45
