participant_id,country,gender,age,age_group,religion,environment,year,wave,survey
1,Argentina,Female,58.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
2,Argentina,Female,71.0,66+,Christianity,Urban,1984,1,WVS_Wave_1
3,Argentina,Male,55.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
4,Argentina,Male,22.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
5,Argentina,Female,66.0,66+,Christianity,Urban,1984,1,WVS_Wave_1
6,Argentina,Male,60.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
7,Argentina,Male,36.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
8,Argentina,Male,34.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
9,Argentina,Female,40.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
10,Argentina,Male,56.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
11,Argentina,Female,54.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
12,Argentina,Male,21.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
13,Argentina,Male,32.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
14,Argentina,Male,23.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
15,Argentina,Female,21.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
16,Argentina,Male,27.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
17,Argentina,Female,32.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
18,Argentina,Female,43.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
19,Argentina,Female,34.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
20,Argentina,Female,68.0,66+,Christianity,Urban,1984,1,WVS_Wave_1
21,Argentina,Male,22.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
22,Argentina,Male,45.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
23,Argentina,Female,24.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
24,Argentina,Male,26.0,26-35,Unaffiliated,Urban,1984,1,WVS_Wave_1
25,Argentina,Male,37.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
26,Argentina,Male,38.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
27,Argentina,Female,55.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
28,Argentina,Male,21.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
29,Argentina,Female,24.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
30,Argentina,Female,35.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
31,Argentina,Female,27.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
32,Argentina,Female,54.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
33,Argentina,Male,35.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
34,Argentina,Male,24.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
35,Argentina,Male,29.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
36,Argentina,Female,64.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
37,Argentina,Female,20.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
38,Argentina,Female,26.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
39,Argentina,Male,41.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
40,Argentina,Male,48.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
41,Argentina,Female,51.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
42,Argentina,Male,70.0,66+,Christianity,Urban,1984,1,WVS_Wave_1
43,Argentina,Male,61.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
44,Argentina,Male,18.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
45,Argentina,Male,65.0,56-65,Unaffiliated,Urban,1984,1,WVS_Wave_1
46,Argentina,Female,26.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
47,Argentina,Male,32.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
48,Argentina,Female,72.0,66+,Christianity,Urban,1984,1,WVS_Wave_1
49,Argentina,Male,46.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
50,Argentina,Male,62.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
51,Argentina,Male,40.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
52,Argentina,Female,65.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
53,Argentina,Male,31.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
54,Argentina,Male,38.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
55,Argentina,Female,29.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
56,Argentina,Female,54.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
57,Argentina,Female,23.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
58,Argentina,Male,35.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
59,Argentina,Male,81.0,66+,Unaffiliated,Urban,1984,1,WVS_Wave_1
60,Argentina,Male,24.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
61,Argentina,Female,64.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
62,Argentina,Female,28.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
63,Argentina,Female,33.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
64,Argentina,Male,69.0,66+,Christianity,Urban,1984,1,WVS_Wave_1
65,Argentina,Male,22.0,18-25,Unaffiliated,Urban,1984,1,WVS_Wave_1
66,Argentina,Female,29.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
67,Argentina,Female,34.0,26-35,Judaism,Urban,1984,1,WVS_Wave_1
68,Argentina,Male,24.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
69,Argentina,Male,44.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
70,Argentina,Female,46.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
71,Argentina,Female,51.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
72,Argentina,Female,65.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
73,Argentina,Female,35.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
74,Argentina,Male,34.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
75,Argentina,Female,45.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
76,Argentina,Male,40.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
77,Argentina,Female,64.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
78,Argentina,Male,62.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
79,Argentina,Male,42.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
80,Argentina,Female,32.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
81,Argentina,Female,19.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
82,Argentina,Female,49.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
83,Argentina,Male,37.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
84,Argentina,Female,73.0,66+,Christianity,Urban,1984,1,WVS_Wave_1
85,Argentina,Male,27.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
86,Argentina,Male,62.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
87,Argentina,Female,42.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
88,Argentina,Female,51.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
89,Argentina,Male,36.0,36-45,Unaffiliated,Urban,1984,1,WVS_Wave_1
90,Argentina,Male,28.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
91,Argentina,Female,30.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
92,Argentina,Male,52.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
93,Argentina,Male,43.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
94,Argentina,Female,53.0,46-55,Judaism,Urban,1984,1,WVS_Wave_1
95,Argentina,Male,23.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
96,Argentina,Male,29.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
97,Argentina,Male,50.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
98,Argentina,Male,34.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
99,Argentina,Male,21.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
100,Argentina,Female,44.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
101,Argentina,Female,19.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
102,Argentina,Female,34.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
103,Argentina,Female,21.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
104,Argentina,Female,51.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
105,Argentina,Female,65.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
106,Argentina,Male,27.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
107,Argentina,Female,53.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
108,Argentina,Male,27.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
109,Argentina,Female,54.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
110,Argentina,Female,56.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
111,Argentina,Female,44.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
112,Argentina,Female,54.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
113,Argentina,Male,64.0,56-65,Unaffiliated,Urban,1984,1,WVS_Wave_1
114,Argentina,Female,21.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
115,Argentina,Male,26.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
116,Argentina,Male,19.0,18-25,Judaism,Urban,1984,1,WVS_Wave_1
117,Argentina,Female,29.0,26-35,Judaism,Urban,1984,1,WVS_Wave_1
118,Argentina,Female,23.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
119,Argentina,Male,73.0,66+,Christianity,Urban,1984,1,WVS_Wave_1
120,Argentina,Female,84.0,66+,Christianity,Urban,1984,1,WVS_Wave_1
121,Argentina,Male,19.0,18-25,Judaism,Urban,1984,1,WVS_Wave_1
122,Argentina,Female,50.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
123,Argentina,Male,38.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
124,Argentina,Male,46.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
125,Argentina,Female,60.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
126,Argentina,Male,23.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
127,Argentina,Male,64.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
128,Argentina,Male,19.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
129,Argentina,Female,23.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
130,Argentina,Female,62.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
131,Argentina,Male,20.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
132,Argentina,Male,50.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
133,Argentina,Female,26.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
134,Argentina,Male,59.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
135,Argentina,Male,30.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
136,Argentina,Female,72.0,66+,Christianity,Urban,1984,1,WVS_Wave_1
137,Argentina,Female,66.0,66+,Christianity,Urban,1984,1,WVS_Wave_1
138,Argentina,Female,32.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
139,Argentina,Male,51.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
140,Argentina,Female,29.0,26-35,Judaism,Urban,1984,1,WVS_Wave_1
141,Argentina,Male,44.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
142,Argentina,Male,67.0,66+,Christianity,Urban,1984,1,WVS_Wave_1
143,Argentina,Male,40.0,36-45,Unaffiliated,Urban,1984,1,WVS_Wave_1
144,Argentina,Female,78.0,66+,Judaism,Urban,1984,1,WVS_Wave_1
145,Argentina,Female,38.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
146,Argentina,Male,32.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
147,Argentina,Male,50.0,46-55,Judaism,Urban,1984,1,WVS_Wave_1
148,Argentina,Female,60.0,56-65,Judaism,Urban,1984,1,WVS_Wave_1
149,Argentina,Male,31.0,26-35,Unaffiliated,Urban,1984,1,WVS_Wave_1
150,Argentina,Female,75.0,66+,Christianity,Urban,1984,1,WVS_Wave_1
151,Argentina,Female,35.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
152,Argentina,Female,45.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
153,Argentina,Female,44.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
154,Argentina,Female,30.0,26-35,Unaffiliated,Urban,1984,1,WVS_Wave_1
155,Argentina,Male,65.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
156,Argentina,Female,20.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
157,Argentina,Male,36.0,36-45,Unaffiliated,Urban,1984,1,WVS_Wave_1
158,Argentina,Female,56.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
159,Argentina,Male,22.0,18-25,Unaffiliated,Urban,1984,1,WVS_Wave_1
160,Argentina,Male,62.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
161,Argentina,Female,42.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
162,Argentina,Female,55.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
163,Argentina,Male,69.0,66+,Christianity,Urban,1984,1,WVS_Wave_1
164,Argentina,Female,43.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
165,Argentina,Male,29.0,26-35,Unaffiliated,Urban,1984,1,WVS_Wave_1
166,Argentina,Female,52.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
167,Argentina,Male,24.0,18-25,Unaffiliated,Urban,1984,1,WVS_Wave_1
168,Argentina,Male,56.0,56-65,Unaffiliated,Urban,1984,1,WVS_Wave_1
169,Argentina,Male,38.0,36-45,Unaffiliated,Urban,1984,1,WVS_Wave_1
170,Argentina,Male,25.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
171,Argentina,Female,53.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
172,Argentina,Male,58.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
173,Argentina,Female,44.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
174,Argentina,Male,55.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
175,Argentina,Female,19.0,18-25,Unaffiliated,Urban,1984,1,WVS_Wave_1
176,Argentina,Female,75.0,66+,Christianity,Urban,1984,1,WVS_Wave_1
177,Argentina,Male,23.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
178,Argentina,Female,26.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
179,Argentina,Male,31.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
180,Argentina,Male,58.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
181,Argentina,Male,71.0,66+,Christianity,Urban,1984,1,WVS_Wave_1
182,Argentina,Female,27.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
183,Argentina,Female,18.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
184,Argentina,Female,33.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
185,Argentina,Male,19.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
186,Argentina,Male,29.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
187,Argentina,Male,39.0,36-45,Unaffiliated,Urban,1984,1,WVS_Wave_1
188,Argentina,Female,53.0,46-55,Unaffiliated,Urban,1984,1,WVS_Wave_1
189,Argentina,Male,81.0,66+,Judaism,Urban,1984,1,WVS_Wave_1
190,Argentina,Male,22.0,18-25,Unaffiliated,Urban,1984,1,WVS_Wave_1
191,Argentina,Female,62.0,56-65,Judaism,Urban,1984,1,WVS_Wave_1
192,Argentina,Male,52.0,46-55,Judaism,Urban,1984,1,WVS_Wave_1
193,Argentina,Female,48.0,46-55,Judaism,Urban,1984,1,WVS_Wave_1
194,Argentina,Female,39.0,36-45,Unaffiliated,Urban,1984,1,WVS_Wave_1
195,Argentina,Female,34.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
196,Argentina,Male,43.0,36-45,Unaffiliated,Urban,1984,1,WVS_Wave_1
197,Argentina,Female,69.0,66+,Christianity,Urban,1984,1,WVS_Wave_1
198,Argentina,Female,20.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
199,Argentina,Male,66.0,66+,Christianity,Urban,1984,1,WVS_Wave_1
200,Argentina,Male,24.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
201,Argentina,Female,18.0,18-25,Unaffiliated,Urban,1984,1,WVS_Wave_1
202,Argentina,Female,76.0,66+,Christianity,Urban,1984,1,WVS_Wave_1
203,Argentina,Female,57.0,56-65,Unaffiliated,Urban,1984,1,WVS_Wave_1
204,Argentina,Male,47.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
205,Argentina,Female,64.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
206,Argentina,Female,46.0,46-55,Unaffiliated,Urban,1984,1,WVS_Wave_1
207,Argentina,Female,75.0,66+,Christianity,Urban,1984,1,WVS_Wave_1
208,Argentina,Male,21.0,18-25,Unaffiliated,Urban,1984,1,WVS_Wave_1
209,Argentina,Male,26.0,26-35,Unaffiliated,Urban,1984,1,WVS_Wave_1
210,Argentina,Male,25.0,18-25,Unaffiliated,Urban,1984,1,WVS_Wave_1
211,Argentina,Male,74.0,66+,Christianity,Urban,1984,1,WVS_Wave_1
212,Argentina,Female,72.0,66+,Christianity,Urban,1984,1,WVS_Wave_1
213,Argentina,Female,43.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
214,Argentina,Male,41.0,36-45,Unaffiliated,Urban,1984,1,WVS_Wave_1
215,Argentina,Female,23.0,18-25,Judaism,Urban,1984,1,WVS_Wave_1
216,Argentina,Male,27.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
217,Argentina,Female,72.0,66+,Christianity,Urban,1984,1,WVS_Wave_1
218,Argentina,Female,33.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
219,Argentina,Female,36.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
220,Argentina,Female,32.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
221,Argentina,Male,35.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
222,Argentina,Female,54.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
223,Argentina,Male,72.0,66+,Judaism,Urban,1984,1,WVS_Wave_1
224,Argentina,Male,25.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
225,Argentina,Male,24.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
226,Argentina,Female,44.0,36-45,Unaffiliated,Urban,1984,1,WVS_Wave_1
227,Argentina,Female,54.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
228,Argentina,Male,39.0,36-45,Unaffiliated,Urban,1984,1,WVS_Wave_1
229,Argentina,Female,56.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
230,Argentina,Female,71.0,66+,Christianity,Urban,1984,1,WVS_Wave_1
231,Argentina,Male,46.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
232,Argentina,Male,55.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
233,Argentina,Female,67.0,66+,Christianity,Urban,1984,1,WVS_Wave_1
234,Argentina,Female,24.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
235,Argentina,Male,25.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
236,Argentina,Female,38.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
237,Argentina,Female,56.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
238,Argentina,Male,70.0,66+,Christianity,Urban,1984,1,WVS_Wave_1
239,Argentina,Female,37.0,36-45,Unaffiliated,Urban,1984,1,WVS_Wave_1
240,Argentina,Male,63.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
241,Argentina,Male,24.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
242,Argentina,Male,39.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
243,Argentina,Female,31.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
244,Argentina,Male,36.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
245,Argentina,Male,27.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
246,Argentina,Female,47.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
247,Argentina,Female,24.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
248,Argentina,Female,49.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
249,Argentina,Female,70.0,66+,Christianity,Urban,1984,1,WVS_Wave_1
250,Argentina,Female,26.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
251,Argentina,Male,48.0,46-55,Judaism,Urban,1984,1,WVS_Wave_1
252,Argentina,Male,63.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
253,Argentina,Male,22.0,18-25,Unaffiliated,Urban,1984,1,WVS_Wave_1
254,Argentina,Male,27.0,26-35,Unaffiliated,Urban,1984,1,WVS_Wave_1
255,Argentina,Female,43.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
256,Argentina,Female,58.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
257,Argentina,Male,69.0,66+,Unaffiliated,Urban,1984,1,WVS_Wave_1
258,Argentina,Female,19.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
259,Argentina,Male,37.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
260,Argentina,Female,40.0,36-45,Christianity,Urban,1984,1,WVS_Wave_1
261,Argentina,Female,32.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
262,Argentina,Female,64.0,56-65,Christianity,Urban,1984,1,WVS_Wave_1
263,Argentina,Male,47.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
264,Argentina,Male,19.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
265,Argentina,Female,25.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
266,Argentina,Male,68.0,66+,Christianity,Urban,1984,1,WVS_Wave_1
267,Argentina,Male,31.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
268,Argentina,Female,22.0,18-25,Christianity,Urban,1984,1,WVS_Wave_1
269,Argentina,Female,32.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
270,Argentina,Male,54.0,46-55,Christianity,Urban,1984,1,WVS_Wave_1
271,Argentina,Male,35.0,26-35,Christianity,Urban,1984,1,WVS_Wave_1
