Column,Age,Country Code,Sex,Religion,,
Meaning,Years,,"1=Male
2=Female","0=No denomination
1=Roman Catholic
2=Protestant
3=Orthodox
4=Jew
5=Muslim
6=Hindu
7=Buddhist
8=Other","1=Urban
2=Rural",
D_INTERVIEW,Q262,Q266,Q260,Q289,H_URBRURAL,ISO3_Code
20070001,60,724,2,1,1,ESP
20070002,47,20,1,1,1,AND
20070003,48,724,1,1,1,ESP
20070004,62,724,2,0,1,ESP
20070005,49,724,1,0,1,ESP
20070006,51,724,2,1,1,ESP
20070007,33,620,2,1,1,PRT
20070008,55,724,1,1,1,ESP
20070009,40,620,2,0,1,PRT
20070010,38,620,2,1,1,PRT
20070011,54,620,1,2,1,PRT
20070012,39,170,1,1,1,COL
20070013,44,620,2,1,1,PRT
20070014,53,20,2,1,1,AND
20070015,43,724,2,1,1,ESP
20070016,33,20,1,1,1,AND
20070017,21,20,1,0,1,AND
20070018,61,724,2,1,1,ESP
20070019,47,170,2,1,1,COL
20070020,51,724,2,1,1,ESP
20070021,43,620,2,1,1,PRT
20070022,38,724,2,0,1,ESP
20070023,30,620,2,0,1,PRT
20070024,18,20,1,0,1,AND
20070025,18,20,2,0,1,AND
20070026,39,20,1,2,2,AND
20070027,63,724,2,1,1,ESP
20070028,66,724,2,1,1,ESP
20070029,48,620,2,1,1,PRT
20070030,60,724,1,0,1,ESP
20070031,60,620,2,1,1,PRT
20070032,70,724,1,1,1,ESP
20070033,66,724,1,0,1,ESP
20070034,41,20,2,2,1,AND
20070035,43,20,1,0,1,AND
20070036,58,20,1,1,1,AND
20070037,51,724,1,0,1,ESP
20070038,71,250,2,1,1,FRA
20070039,51,724,1,1,1,ESP
20070040,60,724,2,0,1,ESP
20070041,54,20,2,1,1,AND
20070042,55,724,2,0,1,ESP
20070043,53,20,1,0,1,AND
20070044,47,724,1,0,1,ESP
20070045,43,170,1,0,1,COL
20070046,47,724,2,1,1,ESP
20070047,29,724,2,0,1,ESP
20070048,29,20,2,0,1,AND
20070049,27,20,2,1,1,AND
20070050,66,724,2,1,1,ESP
20070051,61,724,2,1,1,ESP
20070052,27,20,2,1,1,AND
20070053,30,20,2,0,1,AND
20070054,49,724,1,0,1,ESP
20070055,26,20,1,0,1,AND
20070056,41,300,2,3,1,GRC
20070057,71,724,2,1,1,ESP
20070058,58,724,2,1,1,ESP
20070059,60,724,2,1,1,ESP
20070060,37,20,1,1,1,AND
20070061,58,620,2,1,1,PRT
20070062,32,724,1,0,1,ESP
20070063,28,20,1,0,1,AND
20070064,48,24,1,1,1,AGO
20070065,37,20,1,1,2,AND
20070066,35,620,2,1,1,PRT
20070067,31,20,2,0,1,AND
20070068,47,484,2,0,1,MEX
20070069,27,20,1,1,1,AND
20070070,57,250,2,0,1,FRA
20070071,34,724,1,0,1,ESP
20070072,55,24,2,1,2,AGO
20070073,22,250,2,0,2,FRA
20070074,55,76,2,1,1,BRA
20070075,51,20,2,0,2,AND
20070076,86,724,2,1,2,ESP
20070077,18,724,2,1,2,ESP
20070078,32,32,1,0,2,ARG
20070079,72,724,2,1,2,ESP
20070080,40,620,2,1,2,PRT
20070081,48,620,2,1,1,PRT
20070082,57,724,2,1,1,ESP
20070083,22,20,1,1,2,AND
20070084,64,724,2,1,2,ESP
20070085,47,620,2,1,2,PRT
20070086,54,620,2,1,2,PRT
20070087,33,620,2,1,1,PRT
20070088,71,724,2,1,1,ESP
20070089,66,724,1,1,1,ESP
20070090,49,620,2,1,2,PRT
20070091,53,192,2,9,1,CUB
20070092,39,620,2,1,1,PRT
20070093,52,620,2,1,1,PRT
20070094,30,620,2,1,1,PRT
20070095,49,356,2,0,1,IND
20070096,68,724,2,1,1,ESP
20070097,36,724,1,0,1,ESP
20070098,37,620,2,1,1,PRT
20070099,48,20,2,1,1,AND
20070100,61,724,2,0,1,ESP
20070101,46,724,1,1,1,ESP
20070102,42,20,2,1,1,AND
20070103,21,620,1,1,1,PRT
20070104,20,20,2,0,1,AND
20070105,50,724,2,1,1,ESP
20070106,75,724,2,1,1,ESP
20070107,46,724,2,0,1,ESP
20070108,55,620,2,1,1,PRT
20070109,32,620,2,1,1,PRT
20070110,56,724,1,0,1,ESP
20070111,83,724,2,1,1,ESP
20070112,67,504,1,5,1,MAR
